Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Alaat Abdul-Rahman,,FW,Western Sydney Wanderers,,,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Eli Adams,au AUS,"MF,FW",Newcastle Jets,23,2002,21,15,"1,321",14.7,8,4,12,7,1,2,2,0,0.55,0.27,0.82,0.48,0.75,Matches
3,Akol Akon,au AUS,MF,Sydney FC,16,2009,11,2,301,3.3,0,3,3,0,0,0,1,0,0,0.9,0.9,0,0.9,Matches
4,Ethan Alagich,au AUS,MF,Adelaide United,21,2003,21,20,"1,814",20.2,4,4,8,4,0,0,5,0,0.2,0.2,0.4,0.2,0.4,Matches
5,Nickolas Alfaro,au AUS,MF,Sydney FC,17,2008,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Luke Amos,eng ENG,MF,Perth Glory,28,1997,3,0,45,0.5,0,1,1,0,0,0,2,0,0,2,2,0,2,Matches
7,Joel Anasmo,au AUS,FW,Perth Glory,20,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Peter Antoniou,au AUS,DF,Melb City,18,2007,8,0,200,2.2,1,0,1,1,0,0,1,0,0.45,0,0.45,0.45,0.45,Matches
9,Thomas Aquilina,au AUS,DF,Newcastle Jets,24,2001,10,6,467,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Carlo Armiento,au AUS,"MF,FW",Wellington Phoenix,26,1999,22,19,"1,568",17.4,5,2,7,5,0,0,3,1,0.29,0.11,0.4,0.29,0.4,Matches
11,Ahmet Arslan,de GER,"MF,FW",Sydney FC,31,1994,11,10,829,9.2,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
12,Daniel Arzani,au AUS,"MF,FW",Melb City,26,1999,8,7,547,6.1,1,2,3,1,0,0,1,0,0.16,0.33,0.49,0.16,0.49,Matches
13,Nathaniel Atkinson,au AUS,DF,Melb City,26,1999,21,20,"1,681",18.7,0,2,2,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
14,Ali Auglah,au AUS,"MF,FW",Central Coast Mariners,23,2002,14,14,"1,086",12.1,5,0,5,5,0,0,2,0,0.41,0,0.41,0.41,0.41,Matches
15,Austin Ayoubi,lb LIB,FW,Adelaide United,24,2001,12,1,196,2.2,1,1,2,1,0,0,0,0,0.46,0.46,0.92,0.46,0.92,Matches
16,Alex Badolato,au AUS,MF,Newcastle Jets,20,2005,11,11,897,10,4,3,7,4,0,0,2,0,0.4,0.3,0.7,0.4,0.7,Matches
17,Beckham Baker,au AUS,FW,Melb City,16,2008,7,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Kosta Barbarouses,nz NZL,"FW,MF",Western Sydney Wanderers,35,1990,22,16,"1,328",14.8,4,1,5,2,2,2,1,0,0.27,0.07,0.34,0.14,0.2,Matches
19,Jay Barnett,au AUS,DF,Adelaide United,24,2001,21,18,"1,751",19.5,1,2,3,1,0,0,1,0,0.05,0.1,0.15,0.05,0.15,Matches
20,Nathan Barrie,au AUS,DF,Western Sydney Wanderers,19,2006,6,2,296,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Lachlan Bayliss,nz NZL,MF,Newcastle Jets,23,2002,25,17,"1,644",18.3,5,3,8,5,0,0,5,0,0.27,0.16,0.44,0.27,0.44,Matches
22,Patrick Beach,au AUS,GK,Melb City,21,2003,24,24,"2,160",24,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Aziz Behich,au AUS,DF,Melb City,34,1990,24,24,"2,160",24,3,1,4,3,0,0,5,0,0.12,0.04,0.17,0.12,0.17,Matches
24,Joel Bertolissio,au AUS,DF,Newcastle Jets,22,2003,25,21,"1,977",22,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
25,Xavier Bertoncello,,MF,Newcastle Jets,,,25,8,894,9.9,7,1,8,7,0,0,0,0,0.7,0.1,0.81,0.7,0.81,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Jonty Bidois,nz NZL,FW,Auckland FC,20,2004,10,0,121,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
27,Hosine Bility,au AUS,DF,Brisbane,24,2001,7,6,473,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
28,Nathanael Blair,au AUS,FW,Central Coast Mariners,21,2004,13,4,507,5.6,3,1,4,3,0,0,1,0,0.53,0.18,0.71,0.53,0.71,Matches
29,Nathanael Blair,au AUS,FW,Perth Glory,21,2004,2,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Alex Bonetig,au AUS,DF,Western Sydney Wanderers,22,2002,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
31,Liam Bonetig,au AUS,DF,Melb City,20,2005,16,9,856,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Brandon Borrello,au AUS,"FW,MF",Western Sydney Wanderers,30,1995,22,19,"1,547",17.2,4,2,6,3,1,1,2,0,0.23,0.12,0.35,0.17,0.29,Matches
33,Dean Bosnjak,au AUS,"MF,FW",Macarthur FC,18,2006,23,14,"1,142",12.7,3,1,4,3,0,0,4,0,0.24,0.08,0.32,0.24,0.32,Matches
34,Dean Bouzanis,au AUS,GK,Brisbane,34,1990,26,26,"2,295",25.5,0,1,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
35,Rhys Bozinovski,au AUS,MF,Perth Glory,21,2004,14,14,"1,111",12.3,0,2,2,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
36,Christian Bracco,,FW,Newcastle Jets,,,5,0,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Bailey Brandtman,au AUS,"MF,FW",Central Coast Mariners,20,2005,23,12,"1,118",12.4,4,2,6,4,0,0,4,0,0.32,0.16,0.48,0.32,0.48,Matches
38,Luke Brattan,au AUS,MF,Macarthur FC,35,1990,23,22,"1,854",20.6,2,2,4,2,0,0,8,0,0.1,0.1,0.19,0.1,0.19,Matches
39,Jacob Brazete,au AUS,FW,Brisbane,19,2006,4,0,52,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
40,Joshua Brillante,au AUS,"MF,DF",Western Sydney Wanderers,32,1993,24,17,"1,436",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Jake Brimmer,au AUS,MF,Auckland FC,27,1998,15,8,706,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
42,Lachlan Brook,au AUS,"MF,FW",Auckland FC,24,2001,26,21,"1,777",19.7,8,1,9,8,0,0,5,0,0.41,0.05,0.46,0.41,0.46,Matches
43,Luke Brooke-Smith,nz NZL,MF,Wellington Phoenix,17,2008,19,0,405,4.5,0,2,2,0,0,0,1,0,0,0.44,0.44,0,0.44,Matches
44,Adam Bugarija,au AUS,MF,Perth Glory,20,2005,3,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Max Burgess,au AUS,MF,Newcastle Jets,30,1995,24,24,"2,020",22.4,0,2,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
46,Antonee Burke-Gilroy,au AUS,"DF,MF",Brisbane,27,1997,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Brody Burkitt,au AUS,FW,Adelaide United,19,2006,12,1,367,4.1,3,2,5,3,0,0,2,0,0.74,0.49,1.23,0.74,1.23,Matches
48,Anthony Cáceres,au AUS,MF,Macarthur FC,32,1992,23,22,"1,969",21.9,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches
49,Víctor Campuzano,es ESP,"FW,MF",Sydney FC,28,1997,24,20,"1,680",18.7,4,3,7,4,0,0,3,0,0.21,0.16,0.37,0.21,0.37,Matches
50,Phillip Čančar,hr CRO,DF,Western Sydney Wanderers,24,2001,11,9,679,7.5,1,0,1,1,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Max Caputo,au AUS,FW,Melb City,19,2005,26,21,"1,554",17.3,8,1,9,7,1,1,4,0,0.46,0.06,0.52,0.41,0.46,Matches
52,Jarrod Carluccio,au AUS,DF,Western Sydney Wanderers,24,2001,18,6,631,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
53,Anaru Cassidy,nz NZL,MF,Wellington Phoenix,19,2006,2,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Ajak Chol,ss SSD,FW,Adelaide United,24,2000,4,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Gabriel Cleur,au AUS,DF,Western Sydney Wanderers,27,1998,7,1,243,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Zach Clough,eng ENG,MF,Newcastle Jets,30,1995,4,1,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Stefan Colakovski,mk MKD,"FW,MF",Perth Glory,25,2000,13,4,510,5.7,3,2,5,3,0,0,2,0,0.53,0.35,0.88,0.53,0.88,Matches
58,Fin Conchie,nz NZL,"MF,FW",Wellington Phoenix,21,2003,14,7,539,6,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
59,Max Cooper,,DF,Newcastle Jets,,,9,8,678,7.5,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
60,Sam Cosgrove,eng ENG,FW,Auckland FC,28,1996,25,23,"1,931",21.5,11,4,15,11,0,1,6,0,0.51,0.19,0.7,0.51,0.7,Matches
61,Jordan Courtney-Perkins,au AUS,DF,Sydney FC,22,2002,10,4,449,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
62,Harry Crawford,au AUS,"FW,DF",Adelaide United,19,2006,5,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Nicholas D'Agostino,au AUS,FW,Brisbane,27,1998,6,4,310,3.4,2,0,2,2,0,0,2,0,0.58,0,0.58,0.58,0.58,Matches
64,Louis D'Arrigo,au AUS,MF,Melbourne Victory,23,2001,16,11,969,10.8,2,0,2,2,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
65,Damien Da Silva,fr FRA,DF,Macarthur FC,37,1988,21,20,"1,768",19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Jason Davidson,au AUS,DF,Melbourne Victory,34,1991,23,21,"1,951",21.7,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
67,Giovanni De Abreu,au AUS,MF,Perth Glory,18,2007,17,12,"1,180",13.1,0,2,2,0,0,0,7,0,0,0.15,0.15,0,0.15,Matches
68,Zac De Jesus,au AUS,DF,Sydney FC,19,2006,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Harrison Delbridge,au AUS,DF,Melb City,33,1992,4,3,321,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
70,Frans Deli,au AUS,MF,Macarthur FC,20,2005,7,1,153,1.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
71,James Delianov,au AUS,GK,Newcastle Jets,25,1999,26,26,"2,340",26,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
72,Matt Dench,au AUS,"MF,DF",Brisbane,21,2003,12,5,585,6.5,1,0,1,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
73,Sebastian Despotovski,au AUS,"MF,FW",Perth Glory,19,2005,18,13,"1,145",12.7,3,1,4,3,0,0,4,0,0.24,0.08,0.31,0.24,0.31,Matches
74,Harrison Devenish-Meares,au AUS,GK,Sydney FC,28,1996,26,26,"2,340",26,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
75,Miguel Di Pizio,au AUS,"FW,MF",Central Coast Mariners,19,2006,19,17,"1,379",15.3,3,4,7,3,0,0,0,0,0.2,0.26,0.46,0.2,0.46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
