,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Matías Abaldo,uy URU,"MF,FW",Independiente,22-062,2004,15,15,"1,262",14,5,1,6,5,0,0,1,1,0.36,0.07,0.43,0.36,0.43,Matches
2,Carlos Abeldano,ar ARG,FW,Atlé Tucumán,21-056,2005,9,6,575,6.4,1,0,1,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
3,Ramón Ábila,ar ARG,FW,Estudiantes–RC,36-233,1989,8,1,196,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
4,Ignacio Abraham,sy SYR,"DF,MF",Banfield,28-143,1998,16,16,"1,440",16,0,4,4,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
5,Gonzalo Abrego,ar ARG,MF,San Lorenzo,26-148,2000,11,6,510,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
6,Gustavo Abregú,ar ARG,MF,Instituto,28-335,1997,14,12,"1,073",11.9,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
7,Jonás Acevedo,ar ARG,MF,Instituto,29-118,1997,7,1,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Benjamin Acosta,ar ARG,FW,Lanús,20-116,2006,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Marcos Acuña,ar ARG,DF,River Plate,34-219,1991,11,9,837,9.3,0,1,1,0,0,0,7,0,0,0.11,0.11,0,0.11,Matches
10,Valentino Acuña,ar ARG,MF,Newell's Old Boys,20-128,2006,5,4,295,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Tomás Adoryán,am ARM,MF,Banfield,24-255,2001,11,5,541,6,0,1,1,0,0,0,4,0,0,0.17,0.17,0,0.17,Matches
12,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,35-285,1990,16,16,"1,374",15.3,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
13,Mateo Aguiar,ar ARG,MF,Defensa y Justicia,19-078,2007,9,0,157,1.7,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
14,Pablo Aguiar,ar ARG,MF,Gimnasia–LP,20-078,2006,5,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Brian Aguirre,ar ARG,"FW,MF",Boca Juniors,23-003,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Brian Aguirre,ar ARG,MF,Estudiantes–LP,23-003,2003,9,4,433,4.8,1,2,3,1,0,0,2,0,0.21,0.42,0.62,0.21,0.62,Matches
17,Misael Aguirre,ar ARG,FW,Unión,18-218,2007,9,0,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Manuel Agustín Duarte,ar ARG,MF,Barracas Central,24-285,2001,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Facundo Alaggia,ar ARG,MF,Sarmiento–J,21-003,2005,4,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Gabriel Alanís,ar ARG,"MF,FW",Estudiantes–RC,32-080,1994,15,11,910,10.1,1,0,1,1,0,0,0,1,0.1,0,0.1,0.1,0.1,Matches
21,Fernando Alarcón,ar ARG,DF,Instituto,31-353,1994,13,13,"1,125",12.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
22,William Alarcón,cl CHI,MF,Boca Juniors,25-196,2000,5,5,323,3.6,0,1,1,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
23,Lucas Alario,ar ARG,FW,Estudiantes–LP,33-239,1992,3,1,114,1.3,1,0,1,1,0,0,0,0,0.79,0,0.79,0.79,0.79,Matches
24,Rodrigo Aliendro,ar ARG,MF,Vélez Sarsfield,35-108,1991,16,7,736,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
25,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,28-024,1998,16,14,"1,207",13.4,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
