Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Nicolás Acevedo,uy URU,"DF,MF",Bahia,27-051,1999,15,15,"1,299",14.4,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
2,Luciano Acosta,ar ARG,MF,Fluminense,32-004,1994,14,13,901,10,3,4,7,3,0,0,4,0,0.3,0.4,0.7,0.3,0.7,Matches
3,Adson,br BRA,MF,Vasco da Gama,25-241,2000,8,3,400,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Braian Aguirre,ar ARG,"DF,MF",Internacional,25-311,2000,12,5,474,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,Matches
5,Yuri Alberto,br BRA,FW,Corinthians,25-078,2001,14,14,"1,211",13.5,1,2,3,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches
6,José Aldo,br BRA,MF,Mirassol,27-314,1998,15,12,"1,081",12,0,1,1,0,0,0,7,0,0,0.08,0.08,0,0.08,Matches
7,Alerrandro,br BRA,FW,Internacional,26-143,2000,17,9,771,8.6,3,3,6,3,0,0,1,0,0.35,0.35,0.7,0.35,0.7,Matches
8,Alesson,br BRA,"MF,FW",Mirassol,27-108,1999,17,14,"1,134",12.6,0,4,4,0,0,0,2,0,0,0.32,0.32,0,0.32,Matches
9,Caio Alexandre,br BRA,MF,Bahia,27-100,1999,11,7,502,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
10,Matheus Alexandre,br BRA,DF,Remo,27-058,1999,7,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Alexsander,br BRA,MF,Atlético Mineiro,22-239,2003,4,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Alisson,br BRA,MF,Fluminense,32-344,1993,8,3,256,2.8,0,1,1,0,0,0,3,0,0,0.35,0.35,0,0.35,Matches
13,Allan,br BRA,MF,Palmeiras,22-046,2004,17,15,"1,213",13.5,4,2,6,4,0,0,3,1,0.3,0.15,0.45,0.3,0.45,Matches
14,Allan,br BRA,MF,Corinthians,29-093,1997,13,5,550,6.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
15,Allan,br BRA,MF,Botafogo (RJ),35-147,1991,10,6,463,5.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
16,Allex,br BRA,"MF,DF",Internacional,20-031,2006,8,4,315,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
17,Kayky Almeida,br BRA,DF,Remo,21-034,2005,7,5,486,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,33-115,1993,10,10,900,10,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
19,David Alves França,br BRA,MF,Coritiba,18-120,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Francis Amuzu,be BEL,"MF,FW",Grêmio,26-285,1999,16,12,"1,040",11.6,1,3,4,1,0,0,0,0,0.09,0.26,0.35,0.09,0.35,Matches
21,João Ananias,br BRA,DF,Santos,19-112,2007,3,1,156,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Anderson,br BRA,GK,Chapecoense,28-091,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Anderson,br BRA,FW,Vitória,23-249,2002,4,0,73,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
