,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Prince Adu Kwabena,gh GHA,"FW,MF",Viktoria Plzeň,21,2003,29,18,"1,556",17.3,7,1,8,7,0,0,7,0,0.4,0.06,0.46,0.4,0.46,Matches
2,Ghali Ahmad,ng NGA,"MF,FW",Slovan Liberec,25,2000,6,6,513,5.7,1,1,2,1,0,0,1,0,0.18,0.18,0.35,0.18,0.35,Matches
3,Ghali Ahmad,ng NGA,MF,Sigma Olomouc,25,2000,21,17,"1,397",15.5,3,3,6,3,0,0,1,1,0.19,0.19,0.39,0.19,0.39,Matches
4,Alexis Alegue,fr FRA,"FW,MF",Jablonec,28,1996,29,22,"1,794",19.9,1,7,8,1,0,0,4,1,0.05,0.35,0.4,0.05,0.4,Matches
5,Seif Ali Hindi,se SWE,FW,Dukla Prague,19,2006,4,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Ladislav Almási,sk SVK,FW,Baník Ostrava,26,1999,12,4,456,5.1,3,0,3,3,0,0,3,0,0.59,0,0.59,0.59,0.59,Matches
7,Martin Ambler,,"MF,DF",Dukla Prague,25,2000,11,6,510,5.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
8,Ivan Anokye Mensah,gh GHA,DF,Sparta Prague,21,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Nojus Audinis,lt LTU,DF,Teplice,19,2006,24,16,"1,469",16.3,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
10,John Auta,ng NGA,"MF,FW",Teplice,19,2006,27,15,"1,456",16.2,5,1,6,5,0,0,5,0,0.31,0.06,0.37,0.31,0.37,Matches
11,Emmanuel Ayaosi,ng NGA,"MF,FW",Karviná,20,2004,32,24,"2,129",23.7,6,7,13,6,0,0,5,0,0.25,0.3,0.55,0.25,0.55,Matches
12,Lewis Azaka,cz CZE,FW,Sparta Prague,16,2009,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
13,Stepan Bachurek,,GK,Fastav Zlín,22,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Simon Bammens,be BEL,"DF,MF",FK Pardubice,27,1998,29,24,"2,167",24.1,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
15,Mathews Banda,zm ZAM,DF,Bohemians 1905,19,2005,1,0,16,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Daniel Barat,,MF,Slovácko,18,2006,19,5,520,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
17,Péter Baráth,hu HUN,MF,Sigma Olomouc,23,2002,14,13,"1,189",13.2,2,3,5,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,Matches
18,Lukáš Bartošák,cz CZE,"MF,DF",Fastav Zlín,35,1990,22,20,"1,401",15.6,2,2,4,2,0,0,5,0,0.13,0.13,0.26,0.13,0.26,Matches
19,James Bello,ng NGA,FW,Viktoria Plzeň,20,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Michal Beran,cz CZE,MF,Sigma Olomouc,24,2000,25,24,"2,059",22.9,1,3,4,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17,Matches
21,Michal Beran,cz CZE,MF,Jablonec,24,2000,7,7,628,7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Abdullahi Bewene,ng NGA,"MF,DF",Baník Ostrava,20,2004,23,18,"1,644",18.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
23,Michal Bílek,,MF,Teplice,27,1997,30,27,"2,234",24.8,9,0,9,4,5,6,6,0,0.36,0,0.36,0.16,0.16,Matches
24,Adam Binar,cz CZE,MF,Hradec Králové,19,2006,6,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Veljko Birmančević,rs SRB,FW,Sparta Prague,27,1998,16,14,"1,254",13.9,5,2,7,4,1,1,0,0,0.36,0.14,0.5,0.29,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Patrik Blahút,sk SVK,MF,Slovácko,27,1997,32,30,"2,437",27.1,3,0,3,3,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches
27,Sebastian Boháč,,"MF,DF",Karviná,23,2002,19,14,"1,225",13.6,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
28,Tobias Boledovič,,"MF,DF",FK Pardubice,18,2006,7,5,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Jiří Borek,cz CZE,GK,Slovácko,22,2002,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
30,Jan Bořil,cz CZE,"DF,MF",Slavia Prague,34,1991,22,20,"1,754",19.5,3,1,4,3,0,0,5,1,0.15,0.05,0.21,0.15,0.21,Matches
31,Ioannis-Foivos Botos,gr GRE,"MF,FW",FK Pardubice,24,2000,20,12,"1,006",11.2,0,1,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
32,Jiří Boula,cz CZE,MF,Baník Ostrava,26,1999,33,28,"2,538",28.2,2,2,4,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
33,Lukáš Branecký,cz CZE,MF,Fastav Zlín,19,2006,11,1,227,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
34,Radim Breite,cz CZE,MF,Sigma Olomouc,35,1989,14,14,"1,012",11.2,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
35,Radek Büchner,,DF,Viktoria Plzeň,18,2007,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,David Buchta,cz CZE,"MF,FW",Baník Ostrava,26,1999,20,12,"1,058",11.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
37,Viktor Budinský,sk SVK,GK,Baník Ostrava,32,1993,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
38,Mick van Buren,nl NED,"FW,MF",Hradec Králové,32,1992,23,20,"1,539",17.1,3,2,5,3,0,0,1,0,0.18,0.12,0.29,0.18,0.29,Matches
39,Jan Buryán,cz CZE,FW,Mladá Boleslav,19,2005,8,3,335,3.7,1,0,1,1,0,0,2,0,0.27,0,0.27,0.27,0.27,Matches
40,Alexandr Bužek,cz CZE,"MF,DF",Karviná,20,2004,13,10,862,9.6,1,1,2,1,0,0,0,1,0.1,0.1,0.21,0.1,0.21,Matches
41,Alexandr Bužek,cz CZE,MF,Slavia Prague,20,2004,7,4,318,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Sahmkou Camara,gn GUI,DF,Karviná,22,2003,31,29,"2,597",28.9,0,1,1,0,0,0,0,1,0,0.03,0.03,0,0.03,Matches
43,František Čech,cz CZE,DF,Hradec Králové,27,1998,26,26,"2,321",25.8,1,1,2,1,0,0,2,1,0.04,0.04,0.08,0.04,0.08,Matches
44,Martin Cedidla,cz CZE,"DF,MF",Jablonec,23,2001,32,30,"2,652",29.5,1,0,1,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches
45,Ousman Ceesay,gm GAM,FW,Slovácko,20,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Aleš Čermák,cz CZE,"MF,FW",Bohemians 1905,30,1994,29,29,"2,534",28.2,3,4,7,2,1,1,2,0,0.11,0.14,0.25,0.07,0.21,Matches
47,Marcel Čermák,cz CZE,"MF,FW",Dukla Prague,26,1998,34,34,"2,752",30.6,4,5,9,2,2,2,2,0,0.13,0.16,0.29,0.07,0.23,Matches
48,Michal Černák,cz CZE,"MF,DF",Dukla Prague,21,2003,17,11,833,9.3,1,1,2,1,0,0,3,0,0.11,0.11,0.22,0.11,0.22,Matches
49,Jakub Černín,,DF,Fastav Zlín,26,1999,26,24,"1,998",22.2,5,2,7,2,3,3,8,2,0.23,0.09,0.32,0.09,0.18,Matches
50,Simon Cerny,,MF,Bohemians 1905,19,2006,7,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Lukáš Červ,cz CZE,MF,Viktoria Plzeň,24,2001,32,31,"2,649",29.4,1,3,4,1,0,0,3,0,0.03,0.1,0.14,0.03,0.14,Matches
52,Štěpán Chaloupek,cz CZE,DF,Slavia Prague,22,2003,28,20,"1,860",20.7,8,1,9,8,0,0,5,0,0.39,0.05,0.44,0.39,0.44,Matches
53,Jakub Chalupa,,MF,Viktoria Plzeň,18,2006,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
