Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Jonas Abbew,dk DEN,DF,AGF,23,2002,12,1,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Elias Achouri,tn TUN,"MF,FW",FC Copenhagen,26,1999,20,15,"1,315",14.6,3,3,6,3,0,0,2,0,0.21,0.21,0.41,0.21,0.41,Matches
3,Stephen Acquah,gh GHA,DF,Nordsjælland,19,2006,17,3,556,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Tonni Adamsen,dk DEN,FW,Silkeborg,30,1994,31,30,"2,604",28.9,14,7,21,12,2,4,2,0,0.48,0.24,0.73,0.41,0.66,Matches
5,Osman Addo,dk DEN,FW,Viborg,21,2004,8,0,153,1.7,2,0,2,2,0,0,0,0,1.18,0,1.18,1.18,1.18,Matches
6,Ibrahim Adel,eg EGY,"MF,FW",Nordsjælland,24,2001,11,8,627,7,3,1,4,3,0,0,2,0,0.43,0.14,0.57,0.43,0.57,Matches
7,Mads Agger,dk DEN,"MF,FW",SønderjyskE,25,1999,21,17,"1,453",16.1,3,3,6,3,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches
8,Rúnar Alex Rúnarsson,is ISL,GK,FC Copenhagen,30,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Souleymane Alio,bf BFA,FW,Nordsjælland,18,2006,2,0,25,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
10,Jacob Ambæk,dk DEN,FW,Brøndby,17,2008,26,21,"1,733",19.3,7,0,7,7,0,0,2,0,0.36,0,0.36,0.36,0.36,Matches
11,Prince Amoako,gh GHA,"FW,MF",Nordsjælland,18,2007,31,30,"2,350",26.1,8,5,13,8,0,0,4,0,0.31,0.19,0.5,0.31,0.5,Matches
12,Jonathan Amon,us USA,"FW,MF",Vejle BK,26,1999,10,0,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Adam Andersen,dk DEN,DF,FC Fredericia,20,2005,27,20,"1,725",19.2,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
14,Jacob Andersen,dk DEN,MF,AGF,21,2004,7,4,311,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
15,Jeppe Andersen,dk DEN,MF,Silkeborg,32,1992,13,2,334,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Magnus Andersen,dk DEN,FW,Odense,19,2006,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Max Andersen,dk DEN,MF,Randers,19,2006,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Markus Andersen Walker,dk DEN,DF,Nordsjælland,18,2006,7,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
19,Valdemar Andreasen,dk DEN,MF,Midtjylland,20,2005,28,10,"1,107",12.3,7,3,10,7,0,0,3,0,0.57,0.24,0.81,0.57,0.81,Matches
20,Aske Andresen,dk DEN,GK,Silkeborg,20,2005,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Ísak Andri Sigurgeirsson,is ISL,FW,Viborg,21,2003,5,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Peter Ankersen,dk DEN,DF,Nordsjælland,34,1990,30,30,"2,558",28.4,3,1,4,3,0,0,6,0,0.11,0.04,0.14,0.11,0.14,Matches
23,Daniel Anyembe,ke KEN,DF,Viborg,27,1998,29,27,"2,441",27.1,1,0,1,0,1,1,3,0,0.04,0,0.04,0,0,Matches
24,Kristian Arnstad,no NOR,"FW,MF",AGF,21,2003,31,30,"2,611",29,9,4,13,5,4,5,8,0,0.31,0.14,0.45,0.17,0.31,Matches
25,Jann-Fiete Arp,de GER,MF,Odense,25,2000,30,27,"2,262",25.1,10,4,14,5,5,5,4,0,0.4,0.16,0.56,0.2,0.36,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Rocco Ascone,fr FRA,FW,Nordsjælland,21,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Abdou Aziz Ndiaye,sn SEN,MF,Midtjylland,19,2005,1,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Tobias Bach,ru RUS,DF,AGF,22,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Tobias Bach,ru RUS,"MF,FW",Vejle BK,22,2003,20,18,"1,544",17.2,3,3,6,3,0,0,4,0,0.17,0.17,0.35,0.17,0.35,Matches
30,Youssouph Badji,sn SEN,FW,AGF,23,2001,6,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
