,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta Rotterdam,34,1990,13,8,681,7.6,1,2,3,1,0,0,2,0,0.13,0.26,0.4,0.13,0.4,Matches
2,Aske Adelgaard,dk DEN,DF,Go Ahead Eagles,21,2003,27,16,"1,564",17.4,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches
3,Shawn Adewoye,be BEL,DF,Fortuna Sittard,25,2000,28,24,"2,018",22.4,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
4,Emeka Adiele,,MF,Utrecht,,,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Olivier Aertssen,nl NED,DF,Zwolle,20,2004,28,19,"1,861",20.7,0,2,2,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
6,Oualid Agougil,nl NED,MF,Utrecht,19,2005,6,0,105,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
7,Erik Ahlstrand,se SWE,MF,Heracles Almelo,23,2001,14,7,751,8.3,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
8,Isaiah Ahmed,cw CUW,DF,Heerenveen,19,2005,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Anel Ahmedhodžić,ba BIH,DF,Feyenoord,26,1999,26,26,"2,206",24.5,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24,2001,13,3,460,5.1,2,2,4,2,0,0,2,0,0.39,0.39,0.78,0.39,0.78,Matches
11,Ángel Alarcón,es ESP,"MF,FW",Utrecht,21,2004,13,13,960,10.7,3,3,6,3,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches
12,Gerald Alders,nl NED,DF,Ajax,20,2005,3,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Gerald Alders,nl NED,MF,Telstar,20,2005,7,5,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Mawouna Amevor,tg TOG,DF,Volendam,33,1991,32,32,"2,757",30.6,1,1,2,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,Matches
15,André Ayew,gh GHA,FW,NAC Breda,35,1989,17,8,886,9.8,1,0,1,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
16,Julian Baas,nl NED,MF,Sparta Rotterdam,23,2002,23,14,"1,301",14.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
17,Youri Baas,nl NED,DF,Ajax,22,2003,31,31,"2,759",30.7,4,1,5,4,0,0,4,1,0.13,0.03,0.16,0.13,0.16,Matches
18,Juninho Bacuna,cw CUW,"MF,FW",Volendam,27,1997,13,8,709,7.9,0,2,2,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
19,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eagles,23,2002,20,5,780,8.7,1,2,3,1,0,0,2,1,0.12,0.23,0.35,0.12,0.35,Matches
20,Esmir Bajraktarevic,ba BIH,"MF,FW",PSV,20,2005,28,8,"1,074",11.9,4,4,8,4,0,0,0,0,0.34,0.34,0.67,0.34,0.67,Matches
21,Saïd Bakari,km COM,DF,Sparta Rotterdam,30,1994,13,4,403,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Danny Bakker,nl NED,DF,Telstar,30,1995,30,29,"2,636",29.3,4,1,5,4,0,1,0,0,0.14,0.03,0.17,0.14,0.17,Matches
23,Nordin Bakker,nl NED,GK,Heerenveen,27,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Max Balard,au AUS,MF,NAC Breda,24,2000,32,32,"2,725",30.3,0,1,1,0,0,0,5,1,0,0.03,0.03,0,0.03,Matches
25,Vasilios Barkas,gr GRE,GK,Utrecht,31,1994,33,33,"2,925",32.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Samuel Bastien,cd COD,MF,Fortuna Sittard,28,1996,6,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Jordy Bawuah,be BEL,MF,PSV,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Steven Benda,de GER,GK,Feyenoord,26,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Mimeirhel Benita,nl NED,"DF,MF",Heracles Almelo,21,2003,25,15,"1,447",16.1,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
30,Mitchell van Bergen,nl NED,MF,Twente,25,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Mitchell van Bergen,nl NED,"MF,FW",Sparta Rotterdam,25,1999,29,29,"2,326",25.8,3,4,7,3,0,0,1,0,0.12,0.15,0.27,0.12,0.27,Matches
32,Thom van Bergen,nl NED,"FW,MF",Groningen,21,2004,34,34,"2,966",33,9,4,13,9,0,0,4,0,0.27,0.12,0.39,0.27,0.39,Matches
33,Steven Berghuis,nl NED,"FW,MF",Ajax,33,1991,19,14,"1,134",12.6,4,2,6,4,0,0,3,0,0.32,0.16,0.48,0.32,0.48,Matches
34,Jerolldino Bergraaf,nl NED,FW,Excelsior,19,2006,24,10,"1,050",11.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
35,Daniel Bielica,pl POL,GK,NAC Breda,26,1999,33,33,"2,970",33,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
36,Daan Bisschops,nl NED,DF,Fortuna Sittard,20,2005,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Adrian Blake,eng ENG,"MF,FW",Utrecht,20,2005,23,10,975,10.8,2,2,4,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches
38,Sil Blokhuis,nl NED,FW,Heracles Almelo,17,2008,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Thijmen Blokzijl,nl NED,DF,Groningen,20,2005,34,34,"3,046",33.8,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches
40,Luca Blondeau,,DF,Volendam,,,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Myron Boadu,nl NED,FW,PSV,24,2001,13,2,332,3.7,3,0,3,3,0,0,0,0,0.81,0,0.81,0.81,0.81,Matches
42,Ofosu Boakye,,FW,Go Ahead Eagles,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Paweł Bochniewicz,pl POL,DF,Heerenveen,29,1996,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Ruben van Bommel,nl NED,FW,PSV,20,2004,6,6,376,4.2,3,0,3,3,0,0,1,0,0.72,0,0.72,0.72,0.72,Matches
45,Kasper Boogaard,nl NED,MF,AZ Alkmaar,19,2006,11,8,710,7.9,0,2,2,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
46,Taylor Booth,us USA,MF,Twente,24,2001,10,4,364,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
47,Zach Booth,us USA,MF,Excelsior,21,2004,3,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Gonçalo Borges,pt POR,"MF,FW",Feyenoord,24,2001,11,4,455,5.1,2,1,3,2,0,0,0,1,0.4,0.2,0.59,0.4,0.59,Matches
49,Yvandro Borges Sanches,lu LUX,"MF,FW",Heracles Almelo,21,2004,11,5,518,5.8,2,0,2,2,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
50,Jordy Bos,au AUS,"DF,MF",Feyenoord,22,2002,28,24,"2,056",22.8,4,7,11,4,0,0,0,0,0.18,0.31,0.48,0.18,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Rayane Bounida,be BEL,FW,Ajax,19,2006,22,9,832,9.2,1,5,6,1,0,0,4,0,0.11,0.54,0.65,0.11,0.65,Matches
52,Aaron Bouwman,nl NED,DF,Ajax,17,2007,8,6,555,6.2,1,0,1,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
53,Wassim Bouziane,nl NED,FW,AZ Alkmaar,18,2006,4,0,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,Matches
54,Can Bozdogan,de GER,MF,Utrecht,24,2001,18,4,424,4.7,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
55,Rhys Bozinovski,au AUS,MF,Heracles Almelo,21,2004,8,6,411,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
