Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ali Aarabi,,FW,Paykan,29,1996,6,6,482,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Ali Aarabi,,FW,Sepahan,29,1996,2,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Amir Reza Mahmood Abadi,,FW,Chadormalu SC,30,1995,22,15,"1,338",14.9,2,5,7,2,0,1,2,0,0.13,0.34,0.47,0.13,0.47,Matches
4,Hossein Abarghouei,ir IRN,MF,Persepolis,29,1996,18,16,"1,452",16.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Aram Abbasi,ir IRN,DF,Esteghlal Khuzestan,31,1994,17,12,"1,140",12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Armin Abbasi,,GK,Paykan,,,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
7,Mohammad Abbasi,,MF,Mes Rafsanjan,24,2000,5,0,99,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
8,Mohammad Abbasi,,MF,Foolad,24,2000,6,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Mehdi Abdi,ir IRN,FW,Malavan,26,1998,3,0,74,0.8,0,1,1,0,0,1,1,0,0,1.22,1.22,0,1.22,Matches
10,Antonio Adán,es ESP,GK,Esteghlal,38,1987,13,12,"1,113",12.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
11,Amirreza Afsardeh,,DF,Malavan,,,19,16,"1,440",16,1,0,1,1,0,0,8,1,0.06,0,0.06,0.06,0.06,Matches
12,Omid Afshin,,GK,Esteghlal Khuzestan,,,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,Javad Aghaeipour,ir IRN,FW,Sepahan,25,1999,8,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Javad Aghaeipour,ir IRN,FW,Aluminium Arak,25,1999,5,5,424,4.7,1,1,2,1,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
15,Mohammad Aghajanpour,ir IRN,MF,Kheybar,28,1997,17,6,780,8.7,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
16,Mehrdad Aghamohammadi,,MF,Shams Azar,,,22,8,781,8.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
17,Aref Aghasi,ir IRN,DF,Esteghlal,28,1997,5,4,327,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Mohammad Ahle Shakheh,ir IRN,DF,Esteghlal Khuzestan,32,1993,7,1,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Hojjat Ahmadi,,FW,Paykan,,,8,5,411,4.6,1,0,1,1,0,0,4,0,0.22,0,0.22,0.22,0.22,Matches
20,Hojjat Ahmadi,,FW,Esteghlal Khuzestan,,,15,13,"1,177",13.1,3,0,3,3,0,0,4,0,0.23,0,0.23,0.23,0.23,Matches
21,Mehran Ahmadi,,MF,Esteghlal,27,1997,12,9,667,7.4,1,1,2,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,Matches
22,Mohammadmahdi Ahmadi,ir IRN,DF,Esteghlal Khuzestan,24,2001,21,21,"1,871",20.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
23,Farshad Ahmadzadeh,ir IRN,MF,Foolad,32,1992,7,5,489,5.4,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
24,Farshad Ahmadzadeh,ir IRN,MF,Persepolis,32,1992,12,8,704,7.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
25,Younes Akbarpour,ir IRN,DF,Aluminium Arak,23,2002,2,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Younes Akbarpour,ir IRN,DF,Malavan,23,2002,4,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Arash Akbarzadeh,,MF,Foolad,,,4,0,19,0.2,1,0,1,1,0,0,0,0,4.74,0,4.74,4.74,4.74,Matches
28,Arman Akvan,,DF,Gol Gohar FC,32,1993,21,21,"1,890",21,3,0,3,3,0,0,5,0,0.14,0,0.14,0.14,0.14,Matches
29,Issa Alekasir,ir IRN,FW,Malavan,35,1990,4,2,218,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Mohammad Ali Faramarzi,ir IRN,DF,Paykan,31,1994,15,9,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
31,Jalaledin Alimohammadi,ir IRN,FW,Zob Ahan,35,1990,20,16,"1,392",15.5,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
32,Mohammad Alinejad,ir IRN,FW,Malavan,32,1993,20,20,"1,422",15.8,3,1,4,3,0,0,8,0,0.19,0.06,0.25,0.19,0.25,Matches
33,Ali Alipour,ir IRN,FW,Persepolis,29,1995,22,22,"1,942",21.6,6,6,12,4,2,2,3,0,0.28,0.28,0.56,0.19,0.46,Matches
34,Benyamin Alipour,,MF,Gol Gohar FC,,,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Omid Alishah,ir IRN,MF,Persepolis,33,1992,15,12,864,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,Matches
36,Majid Aliyari,ir IRN,FW,Sepahan,29,1996,13,5,619,6.9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
37,Alireza Alizadeh,ir IRN,MF,Gol Gohar FC,32,1993,17,14,"1,207",13.4,0,0,0,0,0,0,8,1,0,0,0,0,0,Matches
38,Sadegh Alousabih,,MF,Kheybar,29,1996,15,15,"1,203",13.4,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
39,Amir Amanipour,,MF,Aluminium Arak,18,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Mohammad Amin Kazemian,,MF,Persepolis,29,1996,16,8,667,7.4,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
41,Farid Amiri,ir IRN,FW,Paykan,29,1995,22,21,"1,773",19.7,2,2,4,2,0,0,5,1,0.1,0.1,0.2,0.1,0.2,Matches
42,Vahid Amiri,ir IRN,"FW,MF",Foolad,37,1988,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Mauro Andrés Caballero,py PAR,FW,Chadormalu SC,30,1994,2,0,18,0.2,1,0,1,1,0,0,0,0,5,0,5,5,5,Matches
44,Mohammad Ansari,,MF,Gol Gohar FC,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Sasan Ansari,ir IRN,FW,Foolad,34,1991,20,20,"1,620",18,0,1,1,0,0,1,2,0,0,0.06,0.06,0,0.06,Matches
46,Farnam Arab,,MF,Mes Rafsanjan,,,10,4,444,4.9,2,0,2,2,0,0,2,0,0.41,0,0.41,0.41,0.41,Matches
47,Pouria Aria Kia,ir IRN,FW,Mes Rafsanjan,35,1990,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
48,Amir Arsalan Motahari,ir IRN,FW,Fajr Sepasi,32,1993,5,2,164,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
49,Alireza Arta,ir IRN,DF,Chadormalu SC,28,1997,11,8,746,8.3,0,1,1,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
50,Sina Asad Beigi,ir IRN,MF,Foolad,28,1997,21,21,"1,746",19.4,0,4,4,0,0,0,3,1,0,0.21,0.21,0,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Reza Asadi,ir IRN,MF,Gol Gohar FC,29,1996,18,5,581,6.5,2,0,2,2,0,0,3,0,0.31,0,0.31,0.31,0.31,Matches
52,Jasir Asani,al ALB,"FW,MF",Esteghlal,30,1995,19,16,"1,523",16.9,7,3,10,2,5,5,3,0,0.41,0.18,0.59,0.12,0.3,Matches
