,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Max Aarons,eng ENG,"DF,MF",Rangers,25,2000,21,8,845,9.4,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
2,Thelo Aasgaard,no NOR,MF,Rangers,23,2002,33,21,"1,799",20,7,4,11,6,1,1,4,0,0.35,0.2,0.55,0.3,0.5,Matches
3,Emile Acquah,eng ENG,FW,Dundee,25,2000,13,2,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Keelan Adams,sct SCO,DF,Falkirk,23,2001,23,22,"1,953",21.7,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches
5,Junior Adamu,at AUT,FW,Celtic,24,2001,4,2,136,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Aremu Afeez,ng NGA,MF,Aberdeen,25,1999,10,9,632,7,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
7,Ageu,br BRA,MF,Hearts,23,2002,7,1,131,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
8,Emmanuel Agyei,gh GHA,MF,Dundee United,20,2004,11,10,887,9.9,1,1,2,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,Matches
9,Alfredo Agyeman,sct SCO,"MF,FW",Falkirk,25,2000,20,2,551,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Amar Ahmed,se SWE,"FW,MF",Dundee United,21,2004,30,22,"1,855",20.6,8,3,11,5,3,4,3,1,0.39,0.15,0.53,0.24,0.39,Matches
11,Connor Allan,sct SCO,DF,Falkirk,21,2004,25,21,"1,949",21.7,1,0,1,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
12,Rudi Allan-Molotnikov,sct SCO,MF,Hibernian,19,2006,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Jordi Altena,nl NED,"MF,DF",Hearts,21,2003,16,7,575,6.4,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
14,Bruce Anderson,sct SCO,FW,Kilmarnock,26,1998,35,23,"1,886",21,4,2,6,4,0,1,2,0,0.19,0.1,0.29,0.19,0.29,Matches
15,Kai Andrews,wls WAL,MF,Hibernian,18,2006,11,1,312,3.5,1,1,2,1,0,0,1,0,0.29,0.29,0.58,0.29,0.58,Matches
16,Oliver Antman,fi FIN,"MF,FW",Rangers,23,2001,16,8,697,7.7,1,3,4,1,0,0,1,0,0.13,0.39,0.52,0.13,0.52,Matches
17,Adil Aouchiche,dz ALG,"MF,FW",Aberdeen,23,2002,20,16,"1,275",14.2,3,0,3,3,0,0,5,0,0.21,0,0.21,0.21,0.21,Matches
18,Julian Araujo,mx MEX,DF,Celtic,23,2001,10,9,786,8.7,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
19,Scott Arfield,ca CAN,"MF,FW",Livingston,36,1988,8,5,351,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
20,Scott Arfield,ca CAN,MF,Falkirk,36,1988,15,4,485,5.4,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
21,Stuart Armstrong,sct SCO,MF,Aberdeen,33,1992,28,24,"2,072",23,2,5,7,2,0,0,5,0,0.09,0.22,0.3,0.09,0.3,Matches
22,Benjamin Arthur,eng ENG,DF,Celtic,19,2005,4,3,287,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Ryan Astley,wls WAL,DF,Dundee,23,2001,36,34,"3,086",34.3,3,1,4,3,0,0,2,1,0.09,0.03,0.12,0.09,0.12,Matches
24,Jonah Ayunga,ke KEN,FW,St Mirren,28,1997,23,14,"1,194",13.3,3,0,3,3,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
25,Keanu Baccus,au AUS,MF,St Mirren,27,1998,16,13,"1,253",13.9,1,0,1,1,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Scott Bain,sct SCO,GK,Falkirk,33,1991,32,32,"2,863",31.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
27,Nedim Bajrami,al ALB,MF,Rangers,26,1999,12,3,327,3.6,1,1,2,0,1,1,2,0,0.28,0.28,0.55,0,0.28,Matches
28,Michel-Ange Balikwisha,cd COD,FW,Celtic,24,2001,7,2,239,2.7,0,1,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Matches
29,Kofi Balmer,nir NIR,DF,Motherwell,24,2000,5,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Beni Baningime,cd COD,MF,Hearts,26,1998,26,20,"1,740",19.3,0,1,1,0,0,0,2,1,0,0.05,0.05,0,0.05,Matches
31,Daniel Barlaser,tr TUR,MF,Hibernian,28,1997,35,31,"2,542",28.2,0,3,3,0,0,0,4,0,0,0.11,0.11,0,0.11,Matches
32,Connor Barron,sct SCO,MF,Rangers,22,2002,27,16,"1,482",16.5,0,2,2,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches
33,Eddie Beach,wls WAL,GK,Kilmarnock,21,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Tómas Bent Magnússon,is ISL,MF,Hearts,22,2002,27,14,"1,266",14.1,3,0,3,3,0,0,3,0,0.21,0,0.21,0.21,0.21,Matches
35,Paulo Bernardo,pt POR,MF,Celtic,23,2002,8,3,229,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
36,Joe Bevan,sct SCO,FW,Dundee,20,2005,5,0,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
37,Kenan Bilalovic,se SWE,"MF,FW",Aberdeen,20,2005,18,7,628,7,3,0,3,3,0,0,1,0,0.43,0,0.43,0.43,0.43,Matches
38,Eythor Bjørgolfsson,no NOR,FW,Motherwell,24,2000,9,0,215,2.4,1,2,3,1,0,0,1,0,0.42,0.84,1.26,0.42,1.26,Matches
39,Shane Blaney,ie IRL,DF,Livingston,26,1999,5,3,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jeremy Bokila,cd COD,FW,Livingston,36,1988,23,9,904,10,5,0,5,3,2,2,4,1,0.5,0,0.5,0.3,0.3,Matches
41,Christian Borchgrevink,no NOR,"MF,DF",Hearts,26,1999,5,2,196,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
42,Euan Bowie,sct SCO,DF,Kilmarnock,18,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Kieron Bowie,sct SCO,FW,Hibernian,22,2002,22,19,"1,601",17.8,8,3,11,8,0,0,2,0,0.45,0.17,0.62,0.45,0.62,Matches
44,Fletcher Boyd,sct SCO,MF,Aberdeen,17,2008,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Martin Boyle,au AUS,"FW,MF",Hibernian,32,1993,36,26,"2,053",22.8,8,3,11,5,3,3,2,0,0.35,0.13,0.48,0.22,0.35,Matches
46,Cláudio Braga,pt POR,"FW,MF",Hearts,25,1999,38,34,"2,878",32,14,3,17,14,0,0,2,0,0.44,0.09,0.53,0.44,0.53,Matches
47,Jamie Brandon,sct SCO,"DF,MF",Kilmarnock,27,1998,12,9,680,7.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
48,Ben Brannan,sct SCO,"DF,MF",Kilmarnock,18,2007,17,7,692,7.7,1,0,1,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
49,Joshua Brenet,cw CUW,"DF,MF",Livingston,31,1994,14,10,886,9.8,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
50,Benjamin Broggio,eng ENG,MF,Falkirk,18,2007,14,12,935,10.4,5,2,7,5,0,0,1,0,0.48,0.19,0.67,0.48,0.67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ethan Brown,ca CAN,DF,Kilmarnock,20,2005,18,15,"1,365",15.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,James Brown,ie IRL,"MF,DF",Kilmarnock,27,1998,15,13,"1,199",13.3,0,2,2,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
53,Rocky Bushiri,cd COD,DF,Hibernian,25,1999,26,24,"2,179",24.2,3,0,3,3,0,0,6,0,0.12,0,0.12,0.12,0.12,Matches
54,Jack Butland,eng ENG,GK,Rangers,32,1993,38,38,"3,420",38,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Elvis Bwomono,ug UGA,"DF,MF",Aberdeen,26,1998,3,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Chris Cadden,sct SCO,MF,Hibernian,28,1996,20,13,"1,148",12.8,1,2,3,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,Matches
57,Nicky Cadden,sct SCO,MF,Hibernian,28,1996,25,21,"1,645",18.3,0,5,5,0,0,0,2,0,0,0.27,0.27,0,0.27,Matches
58,Jalmaro Calvin,ag ATG,FW,St Mirren,22,2003,6,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Panutche Camará,gw GNB,MF,Dundee United,28,1997,29,20,"1,735",19.3,0,2,2,0,0,0,4,1,0,0.1,0.1,0,0.1,Matches
60,Lyall Cameron,sct SCO,MF,Aberdeen,22,2002,14,10,874,9.7,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
61,Lyall Cameron,sct SCO,MF,Rangers,22,2002,6,2,188,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Allan Campbell,sct SCO,MF,St Mirren,27,1998,12,8,818,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
