Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Delano Abrahams,za RSA,DF,Magesi FC,30-212,1995,9,9,789,8.8,1,0,1,1,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
2,Faiz Abrahams,za RSA,MF,Stellenbosch FC,21-040,2005,3,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Jayden Adams,za RSA,MF,Mamelodi Sundowns,25-030,2001,23,17,"1,419",15.8,1,0,1,1,0,0,5,2,0.06,0,0.06,0.06,0.06,Matches
4,Kossi Adetu,lr LBR,FW,Marumo Gallants FC,30-212,1995,3,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Eroine Agnikoi,ci CIV,DF,Marumo Gallants FC,20-176,2005,14,14,"1,260",14,2,0,2,2,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
6,Keegan Allan,za RSA,DF,AmaZulu,25-301,2000,25,25,"2,103",23.4,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
7,Marcelo Allende,cl CHI,MF,Mamelodi Sundowns,27-058,1999,29,24,"2,126",23.6,5,2,7,5,0,0,3,0,0.21,0.08,0.3,0.21,0.3,Matches
8,Vuyolwethu Andrieas,za RSA,MF,Stellenbosch FC,21-086,2005,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Oswin Appollis,za RSA,MF,Orlando Pirates,24-283,2001,30,24,"2,156",24,9,6,15,8,1,1,0,0,0.38,0.25,0.63,0.33,0.58,Matches
10,Shakeel April,za RSA,MF,Stellenbosch FC,20-185,2005,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Washington Arubi,zw ZIM,GK,Marumo Gallants FC,40-279,1985,21,21,"1,890",21,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
12,Fredrick Asare,gh GHA,GK,Maritzburg United,27-007,1999,4,4,308,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,Bathusi Aubaas,za RSA,"MF,DF",Mamelodi Sundowns,31-021,1995,7,5,427,4.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
14,Keanin Ayer Boya,za RSA,MF,Siwelele,26-044,2000,6,0,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Luke Baartman,za RSA,MF,Kaizer Chiefs,19-357,2006,6,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Aphiwe Baliti,za RSA,DF,Siwelele,24-143,2002,14,3,532,5.9,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
17,Bafedile Baloyi,,FW,Magesi FC,,,8,0,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Bilal Baloyi,za RSA,DF,Siwelele,22-213,2003,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Ibrahim Bancé,bf BFA,MF,Marumo Gallants FC,25-140,2001,12,10,763,8.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
20,Sanele Barns,za RSA,"MF,FW",Richards Bay FC,29-063,1997,15,14,"1,166",13,3,1,4,3,0,0,2,0,0.23,0.08,0.31,0.23,0.31,Matches
21,Sanele Barns,za RSA,"MF,DF",Stellenbosch FC,29-063,1997,12,8,702,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Fawaaz Basadien,za RSA,DF,Mamelodi Sundowns,29-163,1996,7,5,356,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
23,Monty Batlhabane,za RSA,MF,Polokwane City,21-005,2005,9,3,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Atisang Batsi,,MF,Orbit College,,,25,16,"1,679",18.7,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
25,Liam Bern,za RSA,MF,AmaZulu,23-090,2003,16,15,"1,143",12.7,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Ntlonelo Bomelo,za RSA,FW,Richards Bay FC,20-249,2005,11,2,231,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
27,Asanele Bonani,,FW,Chippa United,,,10,5,403,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
28,Alwande Booysen,za RSA,FW,Lamontville Golden Arrows,18-029,2008,4,1,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Andy Boyeli,,FW,Sekhukhune United FC,24-364,2001,4,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Amethyst Bradley Ralani,za RSA,FW,Orbit College,38-243,1987,6,2,222,2.5,1,0,1,0,1,1,0,0,0.41,0,0.41,0,0,Matches
31,Mzwandile Buthelezi,za RSA,DF,Magesi FC,34-165,1991,16,16,"1,336",14.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
32,Chumani Butsaka,za RSA,"MF,FW",Stellenbosch FC,24-244,2001,23,15,"1,331",14.8,3,0,3,3,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
33,Bruce Bvuma,za RSA,GK,Kaizer Chiefs,31-020,1995,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
34,Brian Bwire,ke KEN,GK,Polokwane City,25-350,2000,16,16,"1,440",16,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
35,Daniel Cardoso,za RSA,DF,Sekhukhune United FC,37-241,1988,25,22,"1,954",21.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
36,Bongani Cele,za RSA,FW,Lamontville Golden Arrows,27-268,1998,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Sbonelo Cele,za RSA,DF,Lamontville Golden Arrows,24-281,2001,15,11,"1,028",11.4,0,1,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
38,Thabo Cele,za RSA,MF,Kaizer Chiefs,29-140,1997,17,8,909,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Mpho Chabatsane,za RSA,DF,Marumo Gallants FC,24-090,2002,13,12,"1,113",12.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
40,Mpho Chabatsane,za RSA,DF,Orlando Pirates,24-090,2002,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Sipho Chaine,za RSA,GK,Orlando Pirates,29-172,1996,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Mwenya Chibwe,zm ZAM,GK,Orbit College,32-352,1993,7,7,598,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Elvis Chipezeze,zw ZIM,GK,Magesi FC,36-085,1990,28,28,"2,520",28,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
44,Edmore Chirambadare,zw ZIM,"MF,FW",Magesi FC,34-131,1992,22,8,966,10.7,1,3,4,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,Matches
45,Ethan Chislett,eng ENG,"MF,FW",Kaizer Chiefs,26-102,2000,9,4,359,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
46,Cameron Chweu,,MF,Orbit College,,,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Isaac Cissé,ci CIV,MF,Lamontville Golden Arrows,19-237,2006,21,17,"1,342",14.9,4,0,4,4,0,0,2,1,0.27,0,0.27,0.27,0.27,Matches
48,Jaisen Clifford,za RSA,"FW,MF",Marumo Gallants FC,30-120,1996,22,5,745,8.3,4,0,4,4,0,0,2,0,0.48,0,0.48,0.48,0.48,Matches
49,Rivaldo Coetzee,za RSA,DF,Sekhukhune United FC,29-231,1996,3,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Bradley Cross,za RSA,DF,Kaizer Chiefs,25-125,2001,22,19,"1,721",19.1,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ashley Cupido,za RSA,"FW,MF",Stellenbosch FC,25-030,2001,25,6,778,8.6,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
52,Keanu Cupido,za RSA,DF,Mamelodi Sundowns,28-140,1998,17,16,"1,366",15.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
53,Katlego Cwinyane,za RSA,FW,Orbit College,26-335,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Raymond Daniels,,"MF,FW",Polokwane City,,,17,6,841,9.3,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
55,Cemran Dansin,za RSA,MF,Orlando Pirates,21-066,2005,6,1,150,1.7,1,0,1,1,0,0,0,0,0.6,0,0.6,0.6,0.6,Matches
56,Samuel Darpoh,gh GHA,MF,Magesi FC,28-081,1998,21,13,"1,177",13.1,1,0,1,1,0,0,8,1,0.08,0,0.08,0.08,0.08,Matches
57,Liam De Kock,za RSA,DF,Maritzburg United,25-034,2001,10,7,594,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Thapelo Dhludhlu,,MF,Marumo Gallants FC,,,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Abdoulaye Dine Mariko,ml MLI,MF,Orlando Pirates,22-335,2003,8,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Tidiane Diomandé,ci CIV,MF,Sekhukhune United FC,27-082,1999,5,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Reotshepile Disemelo,,MF,Orbit College,,,1,1,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
