Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Leroy Abanda,fr FRA,DF,Volos N.F.C.,25,2000,16,12,"1,149",12.8,0,2,2,0,0,0,5,0,0,0.16,0.16,0,0.16,Matches
2,Spyros Abartzidis,gr GRE,MF,Atromitos,20,2005,4,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Joel Abu Hanna,il ISR,DF,Levadiakos,27,1998,13,11,884,9.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
4,Georgios Agapakis,gr GRE,DF,Panetolikos,22,2002,8,3,288,3.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
5,Jorge Aguirre,cu CUB,FW,Panetolikos,25,2000,24,12,"1,110",12.3,4,1,5,3,1,2,4,0,0.32,0.08,0.41,0.24,0.32,Matches
6,Derek Agyakwa,nl NED,DF,Volos N.F.C.,23,2001,3,1,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Oluwatobiloba Alagbe,ng NGA,"DF,MF",Asteras Tripoli,25,2000,23,21,"1,653",18.4,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
8,Kosta Aleksic,rs SRB,"FW,MF",Panetolikos,27,1998,33,16,"1,587",17.6,5,1,6,4,1,1,7,1,0.28,0.06,0.34,0.23,0.28,Matches
9,Migouel Alfarela,fr FRA,"MF,FW",Aris,27,1997,10,4,389,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Nikolai Alho,fi FIN,"DF,MF",Asteras Tripoli,32,1993,21,20,"1,617",18,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
11,Christos Almyras,gr GRE,MF,Asteras Tripoli,20,2005,16,12,"1,140",12.7,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
12,Pedro Álvaro,pt POR,DF,Aris,25,2000,15,15,"1,349",15,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
13,Lucas Anacker,br BRA,GK,Levadiakos,28,1996,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Alexandros Anagnostopoulos,gr GRE,GK,Larissa,30,1994,14,14,"1,260",14,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
15,Santino Andino,ar ARG,MF,Panathinaikos,19,2005,15,13,901,10,1,1,2,1,0,0,3,0,0.1,0.1,0.2,0.1,0.2,Matches
16,Luca Andrada,ar ARG,MF,Larissa,24,2001,5,2,247,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Thanasis Androutsos,gr GRE,MF,OFI Crete,28,1997,29,28,"2,372",26.4,3,2,5,3,0,0,6,1,0.11,0.08,0.19,0.11,0.19,Matches
18,Jeremy Antonisse,cw CUW,MF,AE Kifisia,23,2002,28,26,"1,989",22.1,1,2,3,1,0,0,7,1,0.05,0.09,0.14,0.05,0.14,Matches
19,Giannis Apostolakis,gr GRE,"MF,DF",OFI Crete,20,2004,28,19,"1,808",20.1,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
20,Kostas Apostolakis,gr GRE,"DF,MF",Larissa,26,1999,14,8,699,7.8,1,0,1,1,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches
21,Apostolos Apostolopoulos,gr GRE,DF,Panetolikos,22,2002,17,14,"1,135",12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Yoël Armougom,fr FRA,DF,Panserraikos,27,1998,4,2,238,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
23,Jasin Assehnoun,fi FIN,MF,Volos N.F.C.,26,1998,14,1,220,2.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
24,Jani Atanasov,mk MKD,MF,Larissa,25,1999,31,24,"2,248",25,1,1,2,0,1,1,10,0,0.04,0.04,0.08,0,0.04,Matches
25,Giorgos Athanasiadis,gr GRE,GK,Aris,32,1993,19,18,"1,664",18.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Nicolaos Athanasiou,gr GRE,"MF,DF",OFI Crete,24,2001,14,13,"1,154",12.8,0,3,3,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
27,Vasilis Athanasiou,gr GRE,GK,Atromitos,26,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Youssouph Badji,sn SEN,FW,Panetolikos,23,2001,15,13,"1,024",11.4,2,4,6,2,0,0,4,1,0.18,0.35,0.53,0.18,0.53,Matches
29,Petros Bagalianis,gr GRE,DF,Larissa,24,2001,7,4,419,4.7,1,0,1,1,0,0,2,0,0.21,0,0.21,0.21,0.21,Matches
30,Filip Bainović,rs SRB,MF,OFI Crete,29,1996,8,1,199,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
31,Anastasios Bakasetas,gr GRE,"MF,FW",Panathinaikos,32,1993,22,17,"1,485",16.5,5,3,8,2,3,3,6,0,0.3,0.18,0.48,0.12,0.3,Matches
32,Makana Baku,de GER,"MF,FW",Atromitos,27,1998,35,33,"2,753",30.6,10,5,15,10,0,1,3,1,0.33,0.16,0.49,0.33,0.49,Matches
33,Guillermo Balzi,ar ARG,MF,Levadiakos,24,2001,26,22,"1,589",17.7,3,8,11,3,0,0,5,0,0.17,0.45,0.62,0.17,0.62,Matches
34,Zidane Banjaqui,gw GNB,"FW,MF",Panserraikos,26,1998,13,9,684,7.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
35,Julián Bartolo,ar ARG,"MF,FW",Asteras Tripoli,29,1996,33,26,"2,375",26.4,12,2,14,9,3,3,4,0,0.45,0.08,0.53,0.34,0.42,Matches
36,Konstantinos Batos,gr GRE,FW,Atromitos,19,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Dylan Batubinsika,cd COD,DF,Larissa,29,1996,16,16,"1,412",15.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
38,Christos Belevonis,gr GRE,MF,Panetolikos,23,2002,9,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Samir Ben Sallam,nl NED,MF,Panserraikos,24,2001,16,10,797,8.9,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
40,Dimitrios Berdos,gr GRE,MF,PAOK,17,2008,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Alessandro Bianco,it ITA,MF,PAOK,22,2002,13,4,387,4.3,1,0,1,1,0,0,4,0,0.23,0,0.23,0.23,0.23,Matches
42,Giulian Biancone,fr FRA,DF,Olympiacos,25,2000,16,10,951,10.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
43,Darnell Bile,fr FRA,FW,Panserraikos,19,2005,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Alberto Botía,es ESP,DF,AE Kifisia,36,1989,14,6,583,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
45,Andreas Bouchalakis,gr GRE,MF,Panetolikos,32,1993,30,27,"2,327",25.9,1,1,2,1,0,1,6,0,0.04,0.04,0.08,0.04,0.08,Matches
46,Othman Boussaid,be BEL,MF,Aris,25,2000,9,2,285,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
47,Giannis Bouzoukis,gr GRE,MF,Volos N.F.C.,27,1998,25,11,933,10.4,0,1,1,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
48,Adriano Bregou,gr GRE,MF,Panathinaikos,19,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Adriano Bregou,gr GRE,MF,Panetolikos,19,2006,11,1,210,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Alberto Brignoli,it ITA,GK,AEK Athens,33,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ethan Brook,za RSA,"MF,FW",Panserraikos,24,2001,18,9,827,9.2,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
52,Rémy Cabella,fr FRA,MF,Olympiacos,35,1990,7,3,265,2.9,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
53,Davide Calabria,it ITA,"DF,MF",Panathinaikos,28,1996,25,25,"2,106",23.4,2,4,6,1,1,1,5,0,0.09,0.17,0.26,0.04,0.21,Matches
54,Mohamed Camara,gn GUI,MF,PAOK,28,1997,23,4,620,6.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
55,Jan Carlos Hurtado,ve VEN,FW,Volos N.F.C.,25,2000,12,9,851,9.5,3,1,4,2,1,1,4,0,0.32,0.11,0.42,0.21,0.32,Matches
56,José Castaño,es ESP,DF,Asteras Tripoli,26,1998,8,7,652,7.2,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
57,Sofian Chakla,ma MAR,DF,Larissa,31,1993,13,13,"1,170",13,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
58,Fyodor Chalov,ru RUS,FW,PAOK,27,1998,10,4,351,3.9,1,0,1,0,1,1,0,0,0.26,0,0.26,0,0,Matches
59,Georgios Charalampoglou,gr GRE,FW,Asteras Tripoli,20,2004,10,0,115,1.3,1,0,1,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Matches
60,Dimitrios Chatsidis,gr GRE,MF,PAOK,19,2006,12,11,766,8.5,3,3,6,3,0,0,0,0,0.35,0.35,0.7,0.35,0.7,Matches
61,Vasilis Chatziemmanouil,gr GRE,GK,Asteras Tripoli,25,1999,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Zisis Chatzistravos,gr GRE,"MF,FW",Larissa,25,1999,23,8,735,8.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
63,Ilias Chatzitheodoridis,gr GRE,"DF,MF",OFI Crete,27,1997,18,13,"1,124",12.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
64,Lucas Chávez,ar ARG,GK,Panetolikos,29,1995,15,15,"1,350",15,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
65,Fotis Chavos,gr GRE,DF,Panserraikos,19,2006,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Julián Chicco,ar ARG,MF,Asteras Tripoli,27,1998,11,4,468,5.2,1,1,2,1,0,0,1,1,0.19,0.19,0.38,0.19,0.38,Matches
67,Chiquinho,pt POR,MF,Olympiacos,30,1995,30,22,"1,980",22,4,6,10,4,0,0,0,0,0.18,0.27,0.45,0.18,0.45,Matches
68,Pedro Chirivella,es ESP,MF,Panathinaikos,28,1997,21,18,"1,578",17.5,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
69,Manolis Chnaris,gr GRE,GK,OFI Crete,25,2000,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Diamantis Chouchoumis,gr GRE,DF,AE Kifisia,31,1994,13,8,673,7.5,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
71,Lefteris Choutesiotis,gr GRE,GK,Atromitos,31,1994,23,23,"2,070",23,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
72,Konstantinos Chrisopoulos,gr GRE,DF,AEK Athens,22,2003,1,0,23,0.3,1,0,1,1,0,0,0,0,3.91,0,3.91,3.91,3.91,Matches
73,Nikolaos Christogeorgos,gr GRE,GK,OFI Crete,25,2000,22,22,"1,916",21.3,0,1,1,0,0,0,1,1,0,0.05,0.05,0,0.05,Matches
74,Apostolos Christopoulos,gr GRE,FW,AE Kifisia,22,2003,20,15,"1,122",12.5,3,0,3,3,0,0,8,0,0.24,0,0.24,0.24,0.24,Matches
75,Giannis Christopoulos,gr GRE,DF,OFI Crete,25,2000,7,2,286,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Jeyson Chura,bo BOL,MF,Panetolikos,23,2002,5,0,107,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Clayton,br BRA,FW,Olympiacos,26,1999,6,0,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Enis Çokaj,al ALB,MF,Levadiakos,26,1999,31,30,"2,595",28.8,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
79,Maximiliano Comba,ar ARG,MF,Volos N.F.C.,31,1994,29,26,"2,195",24.4,4,2,6,4,0,0,12,0,0.16,0.08,0.25,0.16,0.25,Matches
80,Costinha,pt POR,DF,Olympiacos,25,2000,24,22,"1,736",19.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
81,Vernon De Marco Morlacchi,sk SVK,DF,Panserraikos,32,1992,28,27,"2,300",25.6,2,0,2,2,0,0,9,1,0.08,0,0.08,0.08,0.08,Matches
82,Panagiotis Deligiannidis,gr GRE,"DF,MF",Larissa,28,1996,12,9,796,8.8,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
83,Panagiotis Deligiannidis,gr GRE,"MF,DF",Asteras Tripoli,28,1996,16,13,"1,206",13.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
84,Kiril Despodov,bg BUL,MF,PAOK,28,1996,18,8,809,9,3,1,4,2,1,1,1,0,0.33,0.11,0.44,0.22,0.33,Matches
85,Cyriel Dessers,ng NGA,FW,Panathinaikos,30,1994,5,2,183,2,2,0,2,2,0,0,2,0,0.98,0,0.98,0.98,0.98,Matches
86,Clayton Diandy,sn SEN,"MF,FW",Aris,19,2006,2,2,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Jorge Diaz,uy URU,MF,AE Kifisia,36,1989,7,2,325,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
88,Sokratis Dioudis,gr GRE,GK,Aris,32,1993,12,12,"1,021",11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Giannis Doiranlis,gr GRE,MF,Panserraikos,22,2002,27,17,"1,545",17.2,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
90,Anastasios Donis,gr GRE,MF,Aris,28,1996,12,4,463,5.1,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
91,Bartłomiej Drągowski,pl POL,GK,Panathinaikos,27,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Dudu,br BRA,MF,Aris,23,2002,20,12,"1,000",11.1,3,2,5,3,0,0,1,0,0.27,0.18,0.45,0.27,0.45,Matches
93,Niclas Eliasson,se SWE,MF,AEK Athens,29,1995,18,7,765,8.5,0,3,3,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
94,Dimitris Emmanouilidis,gr GRE,MF,Asteras Tripoli,24,2000,25,13,"1,149",12.8,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches
95,Matías Esquivel,ar ARG,MF,AE Kifisia,26,1999,4,1,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Diego Esteban,es ESP,MF,Panetolikos,25,2000,34,31,"2,521",28,2,1,3,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,Matches
97,Noah Fadiga,sn SEN,DF,Aris,25,1999,23,19,"1,647",18.3,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
98,King Faisal Owusu,gh GHA,FW,Larissa,21,2004,5,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Manolis Faitakis,gr GRE,MF,OFI Crete,20,2005,3,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
100,Thodoris Faitakis,gr GRE,DF,AE Kifisia,18,2007,1,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Miguel Falé,pt POR,MF,Panserraikos,21,2004,7,2,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
