Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Hamza Abdallah,km COM,DF,Lausanne-Sport,22,2003,9,3,222,2.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
2,Taisei Abe,jp JPN,MF,Luzern,21,2004,34,32,"2,646",29.4,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches
3,Dirk Abels,nl NED,"DF,MF",Grasshopper,28,1997,31,30,"2,692",29.9,3,1,4,2,1,1,9,0,0.1,0.03,0.13,0.07,0.1,Matches
4,Amir Abrashi,al ALB,MF,Grasshopper,35,1990,10,5,433,4.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
5,Jonas Adjetey,gh GHA,DF,Basel,21,2003,15,14,"1,255",13.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
6,Jeremy Agbonifo,se SWE,MF,Basel,19,2005,8,4,297,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
7,Gjan Ajdin,se SWE,MF,Lugano,18,2007,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Alban Ajdini,xk KVX,FW,Lausanne-Sport,26,1999,28,8,815,9.1,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
9,Albian Ajeti,ch SUI,FW,Basel,28,1997,34,18,"1,653",18.4,4,1,5,4,0,0,3,0,0.22,0.05,0.27,0.22,0.27,Matches
10,Marvin Akahomen,ch SUI,DF,Basel,18,2007,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Ezgjan Alioski,mk MKD,"DF,MF",Lugano,33,1992,20,7,862,9.6,1,3,4,0,1,2,3,0,0.1,0.31,0.42,0,0.31,Matches
12,Téo Allix,fr FRA,DF,Servette FC,21,2004,11,5,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
13,Stephan Ambrosius,gh GHA,DF,St. Gallen,26,1998,4,3,180,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
14,Ryan Andrews,eng ENG,DF,Young Boys,20,2004,12,9,732,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Alexis Antunes,ch SUI,MF,Servette FC,25,2000,12,8,637,7.1,1,0,1,1,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
16,Allan Arigoni,ch SUI,"DF,MF",Grasshopper,26,1998,11,5,542,6,0,1,1,0,0,0,4,1,0,0.17,0.17,0,0.17,Matches
17,Remo Arnold,ch SUI,DF,FC Winterthur,28,1997,30,27,"2,289",25.4,1,0,1,1,0,0,4,1,0.04,0,0.04,0.04,0.04,Matches
18,Jonathan Asp Jensen,dk DEN,"FW,MF",Grasshopper,19,2006,33,33,"2,738",30.4,8,7,15,8,0,2,3,0,0.26,0.23,0.49,0.26,0.49,Matches
19,Jamie Atangana,ch SUI,FW,Servette FC,17,2007,9,1,167,1.9,1,0,1,0,1,1,0,0,0.54,0,0.54,0,0,Matches
20,Zachary Athekame,ch SUI,DF,Young Boys,20,2004,4,2,212,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Lawrence Ati-Zigi,gh GHA,GK,St. Gallen,28,1996,35,35,"3,150",35,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
22,Florian Ayé,fr FRA,FW,Servette FC,28,1997,26,23,"1,954",21.7,11,2,13,11,0,1,4,0,0.51,0.09,0.6,0.51,0.6,Matches
23,Andrej Bačanin,rs SRB,MF,Basel,18,2007,25,16,"1,333",14.8,0,2,2,0,0,0,3,1,0,0.14,0.14,0,0.14,Matches
24,Mouhamed El Bachir Ngom,sn SEN,DF,Grasshopper,25,2000,15,13,"1,177",13.1,0,1,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
25,Aliou Badara Baldé,gn GUI,FW,St. Gallen,22,2002,36,27,"2,233",24.8,11,0,11,9,2,3,7,0,0.44,0,0.44,0.36,0.36,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Ibrahim Bah Mendes,ch SUI,FW,Lausanne-Sport,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Theo Bair,ca CAN,FW,Lausanne-Sport,25,1999,23,15,"1,513",16.8,6,0,6,5,1,1,5,1,0.36,0,0.36,0.3,0.3,Matches
28,Adrian Bajrami,ch SUI,DF,Luzern,23,2002,34,33,"2,809",31.2,2,1,3,2,0,0,5,0,0.06,0.03,0.1,0.06,0.1,Matches
29,Ashvin Balaruban,ch SUI,DF,Thun,23,2001,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,David von Ballmoos,ch SUI,GK,Lugano,30,1994,15,15,"1,350",15,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
31,Baltazar,br BRA,MF,Sion,25,2000,35,28,"2,600",28.9,2,2,4,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
32,Jan Bamert,ch SUI,DF,Thun,27,1998,34,28,"2,599",28.9,1,1,2,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,Matches
33,Mohamed Bangoura,gn GUI,MF,Zürich,19,2006,17,0,287,3.2,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
34,Anthony Baron,gp GLP,"DF,MF",Servette FC,32,1992,11,7,593,6.6,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
35,Chris Bedia,ci CIV,FW,Young Boys,29,1996,36,21,"1,990",22.1,17,4,21,12,5,5,5,0,0.77,0.18,0.95,0.54,0.72,Matches
