Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Myenty Abena,sr SUR,DF,Gaziantep FK,30,1994,24,21,"1,926",21.4,1,1,2,1,0,0,2,1,0.05,0.05,0.09,0.05,0.09,Matches
2,Tammy Abraham,eng ENG,FW,Beşiktaş,27,1997,18,15,"1,247",13.9,7,1,8,6,1,2,3,0,0.51,0.07,0.58,0.43,0.51,Matches
3,Yaw Ackah,gh GHA,MF,Kayserispor,26,1999,3,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Emmanuel Agbadou,ci CIV,DF,Beşiktaş,28,1997,13,12,"1,091",12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
5,Dan Agyei,gh GHA,"MF,FW",Kocaelispor,28,1997,31,23,"2,122",23.6,5,0,5,5,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
6,Youssef Aït Bennasser,ma MAR,"MF,DF",Kayserispor,29,1996,21,19,"1,468",16.3,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
7,Samet Akaydın,tr TUR,DF,Rizespor,31,1994,29,29,"2,566",28.5,3,1,4,3,0,0,11,1,0.11,0.04,0.14,0.11,0.14,Matches
8,Emre Akbaba,tr TUR,"MF,FW",Eyüpspor,32,1992,23,10,992,11,4,0,4,3,1,1,3,0,0.36,0,0.36,0.27,0.27,Matches
9,Halil Akbunar,tr TUR,"MF,FW",Eyüpspor,31,1993,12,6,507,5.6,2,0,2,2,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
10,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,19,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
