player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
H. Cuypers,CHI,11,11,989,0,13,71,2,47,24,10,11.35,15,16,5,1,0
L. Messi,MIA,14,14,1243,0,12,81,8,85,36,43,8.64,12,24,10,2,0
P. Musa,DAL,13,12,1044,1,12,66,2,49,22,16,10.05,21,5,13,1,0
M. Ojeda,ORL,15,15,1315,0,11,79,1,52,25,31,7.69,4,16,6,1,0
P. Judd,SJ,15,14,1190,1,11,57,2,52,27,6,10.23,19,22,3,4,0
M. Ingvartsen,SD,15,13,1114,2,11,78,4,39,16,13,7.78,18,14,8,1,0
N. Fernández,NYC,15,15,1328,0,10,81,4,45,27,22,5.93,32,45,10,4,0
B. White,VAN,14,14,1202,0,10,74,2,51,25,13,10.95,15,4,9,1,0
E. Da Silva Ferreira,CIN,14,13,1109,1,9,84,6,51,26,41,6.42,16,21,1,2,0
K. Denkey,CIN,14,13,1170,1,9,79,4,34,15,15,9.33,19,26,10,3,0
S. Surridge,NSH,8,4,458,4,9,69,0,19,15,2,5.56,4,5,4,0,0
J. Hall,RBNY,15,15,1285,0,9,81,4,29,16,13,8.83,13,13,4,0,0
P. Owusu,MTL,14,13,1091,1,9,67,5,30,16,18,6.85,38,19,18,5,0
T. Baribo,DC,12,11,924,1,8,80,0,25,10,5,6.2,19,13,4,1,0
K. Yeboah,MIN,14,14,1198,0,8,71,0,33,14,8,8.35,11,26,5,2,0
R. Navarro,COL,15,15,1344,0,8,80,4,44,22,17,8.19,31,40,1,3,0
G. Santos,HOU,14,13,1164,1,8,84,5,40,19,31,3.46,11,44,3,2,0
J. Ruvalcaba,RBNY,15,14,1143,1,7,84,0,39,16,14,4.86,10,5,7,4,0
G. Berterame,MIA,15,12,1134,3,7,80,4,32,16,17,7.36,25,13,1,1,0
P. Biel,CLT,15,15,1315,0,7,83,6,37,14,26,4.91,11,12,3,2,0
M. Iloski,PHI,15,15,1208,0,7,71,1,53,19,26,5.99,16,17,4,1,0
H. Mukhtar,NSH,14,11,1091,3,6,86,5,40,19,19,4.36,12,21,3,2,0
S. Solans,RSL,14,10,874,4,6,70,3,32,15,14,5.64,17,15,4,0,0
L. Farrington,DAL,14,9,784,5,6,73,4,26,12,8,4.02,20,21,4,3,0
S. Berhalter,VAN,14,13,1125,1,6,84,7,33,9,37,3.34,32,21,0,3,0
D. Rossi,CLB,15,14,1263,1,6,85,2,39,13,16,4.76,5,23,3,0,0
Z. Gozo,RSL,14,14,1237,0,6,79,5,47,18,23,4.71,20,14,7,4,0
D. Bouanga,LAFC,14,14,1200,0,6,82,5,49,21,24,6.65,30,14,5,5,0
L. Suárez,MIA,11,7,613,4,6,79,5,22,12,13,5.35,6,12,7,1,0
A. Dreyer,SD,15,14,1284,1,6,82,9,49,25,44,7.07,1,9,10,0,0
D. Joveljić,SKC,14,14,1241,0,6,78,2,22,15,12,2.72,19,17,7,0,0
M. Uzuni,ATX,13,13,1132,0,5,86,4,35,14,7,4.62,11,16,2,2,0
C. Gil,NE,14,14,1253,0,5,87,4,23,12,37,4.24,7,36,2,2,0
W. Abou Ali,CLB,7,7,567,0,5,73,1,20,9,5,4.4,8,12,5,1,0
K. Kelsy,POR,14,9,738,5,5,80,3,24,11,13,5.27,14,11,7,1,0
J. Klauss,LA,8,7,550,1,5,73,0,21,13,6,3.53,9,8,2,0,0
A. Miranchuk,ATL,13,11,1010,2,5,82,2,28,10,24,4.33,6,8,3,0,0
T. Barlow,CIN,15,5,551,10,5,77,0,12,8,4,3.65,10,5,2,2,0
G. Pec,LA,14,14,1215,0,5,88,5,58,28,22,5.97,15,28,5,4,0
W. Madrigal,NSH,14,10,808,4,5,82,4,25,8,10,3.08,16,25,2,0,0
D. Martínez,LAFC,14,10,809,4,5,82,2,24,11,14,2.33,16,14,1,2,0
I. Toklomati,CLT,15,14,1167,1,5,84,1,18,9,13,5.42,12,19,1,1,0
P. Zinckernagel,CHI,14,14,1142,0,5,75,7,48,15,26,5.59,27,32,1,4,0
O. Bouda,SJ,15,13,1184,2,5,79,3,24,11,13,4.21,15,32,7,1,0
H. Wolf,NYC,14,12,1019,2,5,84,2,22,10,13,2.95,20,17,4,2,0
L. Munteanu,DC,11,6,642,5,5,73,1,32,12,6,3.81,15,15,3,1,0
W. Carmona,MTL,12,10,797,2,4,80,4,23,9,28,2.13,12,16,0,2,0
P. Rothrock,SEA,12,9,912,3,4,80,1,17,8,14,1.48,16,24,7,1,0
D. Luna,RSL,9,6,608,3,4,81,3,16,6,30,2.13,8,6,1,3,0
C. Ramírez,ATX,14,8,686,6,4,70,1,14,8,7,2.76,5,5,1,0,0
T. Müller,VAN,12,9,842,3,4,78,4,21,11,26,3.82,2,11,3,0,0
M. Arfsten,CLB,15,15,1287,0,4,80,4,19,8,23,4.25,14,17,7,2,0
R. De Paul,MIA,13,13,1170,0,4,87,7,23,10,33,2.33,9,28,0,4,0
A. Markanich,MIN,15,14,1192,1,4,73,2,17,7,17,3.32,14,18,4,2,0
T. Werner,SJ,7,4,455,3,4,74,5,15,9,14,2.92,2,6,0,1,0
M. Reus,LA,15,12,1020,3,4,84,5,19,8,39,4.75,6,13,3,0,0
P. Aaronson,COL,15,13,1169,2,4,80,4,27,12,26,3.1,23,19,2,1,0
D. Sallói,TOR,14,13,1199,1,4,75,5,28,14,14,3.54,10,17,1,1,0
K. Velde,POR,14,14,1227,0,4,75,3,34,12,30,2.49,17,45,7,3,0
K. Mboma Dem,CIN,12,8,651,4,4,84,1,18,6,7,2.33,3,3,1,0,0
M. Laborda,VAN,13,12,1101,1,3,90,4,14,6,5,2.53,19,4,1,1,0
C. Roldan,SEA,12,10,954,2,3,90,2,19,5,7,2.01,8,10,0,1,0
O. Valakari,SD,15,15,1262,0,3,88,5,18,8,14,2.83,10,33,0,0,0
D. Munie,SJ,14,14,1260,0,3,88,2,8,4,4,1.97,6,5,0,2,0
L. Ennali,HOU,14,12,1085,2,3,86,2,9,5,13,1.23,8,19,2,2,0
P. Miller,NE,12,6,714,6,3,81,0,21,7,6,3.44,7,7,3,1,0
J. Sargent,TOR,8,7,556,1,3,74,1,22,10,6,4.28,5,9,3,0,0
L. Langoni,NE,12,10,816,2,3,80,6,18,9,16,1.73,8,6,5,1,0
E. Aristizábal,TOR,13,5,447,8,3,80,0,17,7,4,2,7,4,0,1,0
D. Vazquez,SD,14,9,741,5,3,84,1,14,4,8,1.57,21,4,1,3,0
D. Yapi,COL,15,9,792,6,3,78,2,18,8,12,3.06,14,11,5,2,0
R. Lod,CHI,13,10,860,3,3,74,2,12,4,16,3.29,18,9,3,1,0
A. Ojeda,NYC,15,15,1207,0,3,84,4,20,8,17,2.69,10,8,12,1,0
C. Espinoza,NSH,14,11,994,3,3,78,8,16,8,30,1.71,9,6,4,1,0
