Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Rodrigo Abascal,uy URU,DF,Vitória Guimarães,31,1994,27,26,"2,272",25.2,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21,2003,26,24,"2,082",23.1,0,1,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
3,Sabit Abdulai,gh GHA,MF,Alverca,26,1999,17,16,"1,163",12.9,0,1,1,0,0,0,5,1,0,0.08,0.08,0,0.08,Matches
4,Umar Abubakar,ng NGA,FW,Famalicão,19,2006,22,3,414,4.6,3,0,3,3,0,0,1,0,0.65,0,0.65,0.65,0.65,Matches
5,Adriano,br BRA,MF,Santa Clara,25,1999,18,16,"1,444",16,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
6,Adriel,br BRA,GK,AVS Futebol,24,2001,16,16,"1,440",16,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
7,João Afonso,pt POR,DF,Tondela,35,1990,13,6,613,6.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
8,João Afonso,pt POR,GK,Santa Clara,18,2007,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Brandon Aguilera,cr CRC,MF,Rio Ave,22,2003,19,17,"1,370",15.2,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
10,Makan Aiko,fr FRA,"MF,FW",Tondela,24,2001,18,11,"1,060",11.8,1,2,3,1,0,1,2,0,0.08,0.17,0.25,0.08,0.25,Matches
11,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22,2003,34,28,"2,436",27.1,1,4,5,1,0,0,2,0,0.04,0.15,0.18,0.04,0.18,Matches
12,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Alan,br BRA,"MF,FW",Moreirense,25,2000,33,32,"2,690",29.9,5,5,10,4,1,2,8,0,0.17,0.17,0.33,0.13,0.3,Matches
14,Ángel Alarcón,es ESP,FW,Porto,21,2004,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Ángel Algobia,es ESP,MF,AVS Futebol,26,1999,21,15,"1,078",12,1,0,1,1,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
16,Rudi Almeida,pt POR,FW,Famalicão,20,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Pedro Amaral,pt POR,"DF,MF",Estoril,27,1997,27,24,"1,839",20.4,0,2,2,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
18,Amorim,br BRA,MF,Alverca,20,2005,19,19,"1,624",18,2,0,2,2,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,24,2001,17,17,"1,495",16.6,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
20,Andrey,br BRA,MF,Santa Clara,23,2002,2,1,145,1.6,0,1,1,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
21,Leandro Antonetti,pr PUR,FW,Estrela,22,2003,12,3,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Óscar Aranda,es ESP,MF,Famalicão,23,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
