rank_date,country_full,rank,total_points
2026-05-31,France,1,1877.32
2026-05-31,Spain,2,1876.4
2026-05-31,Argentina,3,1874.81
2026-05-31,England,4,1825.97
2026-05-31,Portugal,5,1763.83
2026-05-31,Brazil,6,1761.16
2026-05-31,Netherlands,7,1757.87
2026-05-31,Morocco,8,1755.87
2026-05-31,Belgium,9,1734.71
2026-05-31,Germany,10,1730.37
2026-05-31,Croatia,11,1717.07
2026-05-31,Italy,12,1700.37
2026-05-31,Colombia,13,1693.09
2026-05-31,Senegal,14,1688.99
2026-05-31,Mexico,15,1684.13
2026-05-31,USA,16,1673.13
2026-05-31,Uruguay,17,1673.07
2026-05-31,Japan,18,1659.08
2026-05-31,Switzerland,19,1649.4
2026-05-31,Denmark,20,1620.81
2026-05-31,IR Iran,21,1616.04
2026-05-31,Türkiye,22,1599.04
2026-05-31,Ecuador,23,1596.48
2026-05-31,Austria,24,1593.45
2026-05-31,Korea Republic,25,1589.65
2026-05-31,Nigeria,26,1585.8
2026-05-31,Australia,27,1578.66
2026-05-31,Egypt,28,1565.56
2026-05-31,Algeria,29,1564.26
2026-05-31,Canada,30,1556.48
2026-05-31,Norway,31,1550.94
2026-05-31,Ukraine,32,1546.88
2026-05-31,Panama,33,1540.64
2026-05-31,Côte d'Ivoire,34,1532.98
2026-05-31,Poland,35,1528.0
2026-05-31,Wales,36,1524.29
2026-05-31,Russia,37,1523.28
2026-05-31,Sweden,38,1514.77
2026-05-31,Serbia,39,1508.65
2026-05-31,Paraguay,40,1503.5
2026-05-31,Czechia,41,1501.38
2026-05-31,Hungary,42,1500.58
2026-05-31,Scotland,43,1499.92
2026-05-31,Tunisia,44,1483.05
2026-05-31,Cameroon,45,1481.24
2026-05-31,Congo DR,46,1478.35
2026-05-31,Greece,47,1475.82
2026-05-31,Slovakia,48,1473.94
2026-05-31,Venezuela,49,1468.05
2026-05-31,Uzbekistan,50,1465.34
2026-05-31,Costa Rica,51,1459.9
2026-05-31,Mali,52,1459.13
2026-05-31,Peru,53,1455.87
2026-05-31,Chile,54,1455.28
2026-05-31,Qatar,55,1452.37
2026-05-31,Romania,56,1451.16
2026-05-31,Iraq,57,1447.77
2026-05-31,Slovenia,58,1446.44
2026-05-31,Republic of Ireland,59,1439.96
2026-05-31,South Africa,60,1429.73
2026-05-31,Saudi Arabia,61,1419.73
2026-05-31,Burkina Faso,62,1412.49
2026-05-31,Jordan,63,1391.45
2026-05-31,Albania,64,1388.06
2026-05-31,Bosnia and Herzegovina,65,1385.77
2026-05-31,Honduras,66,1380.27
2026-05-31,North Macedonia,67,1372.11
2026-05-31,United Arab Emirates,68,1370.47
2026-05-31,Cabo Verde,69,1366.13
2026-05-31,Northern Ireland,70,1362.16
2026-05-31,Jamaica,71,1359.32
2026-05-31,Georgia,72,1350.18
2026-05-31,Iceland,73,1346.42
2026-05-31,Finland,74,1346.41
2026-05-31,Ghana,75,1345.23
2026-05-31,Bolivia,76,1329.42
2026-05-31,Israel,77,1328.33
2026-05-31,Kosovo,78,1318.83
2026-05-31,Oman,79,1313.46
2026-05-31,Guinea,80,1300.01
2026-05-31,Montenegro,81,1295.52
2026-05-31,Curaçao,82,1293.08
2026-05-31,Haiti,83,1291.71
2026-05-31,Syria,84,1288.56
2026-05-31,New Zealand,85,1281.57
2026-05-31,Bulgaria,86,1278.9
2026-05-31,Gabon,87,1272.51
2026-05-31,Uganda,88,1264.09
2026-05-31,Angola,89,1263.1
2026-05-31,Benin,90,1258.98
2026-05-31,Bahrain,91,1258.53
2026-05-31,Zambia,92,1255.82
2026-05-31,Thailand,93,1252.14
2026-05-31,China PR,94,1251.6
2026-05-31,Palestine,95,1244.73
2026-05-31,Guatemala,96,1243.47
2026-05-31,Belarus,97,1235.82
2026-05-31,Luxembourg,98,1227.77
2026-05-31,Vietnam,99,1225.68
2026-05-31,El Salvador,100,1225.26
2026-05-31,Mozambique,101,1224.31
2026-05-31,Trinidad and Tobago,102,1221.95
2026-05-31,Tajikistan,103,1221.78
2026-05-31,Madagascar,104,1203.76
2026-05-31,Equatorial Guinea,105,1195.2
2026-05-31,Armenia,106,1191.42
2026-05-31,Kyrgyz Republic,107,1191.14
2026-05-31,Lebanon,108,1187.96
2026-05-31,Comoros,109,1187.91
2026-05-31,Kazakhstan,110,1182.96
2026-05-31,Kenya,111,1182.23
2026-05-31,Libya,112,1182.08
2026-05-31,Tanzania,113,1180.27
2026-05-31,Niger,114,1179.66
2026-05-31,Mauritania,115,1170.72
2026-05-31,The Gambia,116,1159.64
