team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Algeria,Group J,1,GK,Melvin Mastil,2000-02-19,26,1,0,Stade Nyonnais,0
Algeria,Group J,2,DF,Aïssa Mandi,1991-10-22,34,117,7,Lille,0
Algeria,Group J,3,DF,Achref Abada,1999-06-15,26,7,1,USM Alger,0
Algeria,Group J,4,DF,Mohamed Amine Tougai,2000-01-22,26,29,2,Espérance de Tunis,0
Algeria,Group J,5,DF,Zineddine Belaïd,1999-03-20,27,10,1,JS Kabylie,0
Algeria,Group J,6,MF,Ramiz Zerrouki,1998-05-26,28,52,3,Twente,0
Algeria,Group J,7,FW,Riyad Mahrez,1991-02-21,35,114,38,Al-Ahli,1
Algeria,Group J,8,MF,Houssem Aouar,1998-06-30,27,20,6,Al-Ittihad,0
Algeria,Group J,9,FW,Amine Gouiri,2000-02-16,26,22,8,Marseille,0
Algeria,Group J,10,MF,Farès Chaïbi,2002-11-28,23,29,3,Eintracht Frankfurt,0
Algeria,Group J,11,FW,Anis Hadj Moussa,2002-02-11,24,14,1,Feyenoord,0
Algeria,Group J,12,FW,Nadhir Benbouali,2000-04-17,26,3,1,Győri ETO,0
Algeria,Group J,13,DF,Jaouen Hadjam,2003-03-26,23,17,3,Young Boys,0
Algeria,Group J,14,MF,Hicham Boudaoui,1999-09-23,26,32,0,Nice,0
Algeria,Group J,15,DF,Rayan Aït-Nouri,2001-06-06,25,28,0,Manchester City,0
Algeria,Group J,16,GK,Oussama Benbot,1994-10-11,31,2,0,USM Alger,0
Algeria,Group J,17,DF,Rafik Belghali,2002-06-07,24,12,1,Hellas Verona,0
Algeria,Group J,18,FW,Mohamed Amoura,2000-05-09,26,45,19,VfL Wolfsburg,0
Algeria,Group J,19,MF,Nabil Bentaleb,1994-11-24,31,59,6,Lille,0
Algeria,Group J,20,FW,Adil Boulbina,2003-05-02,23,11,6,Al-Duhail,0
Algeria,Group J,21,DF,Ramy Bensebaini,1995-04-16,31,81,7,Borussia Dortmund,0
Algeria,Group J,22,MF,Ibrahim Maza,2005-11-24,20,16,2,Bayer Leverkusen,0
Algeria,Group J,23,GK,Luca Zidane,1998-05-13,28,7,0,Granada,0
Algeria,Group J,24,MF,Yacine Titraoui,2003-08-26,22,5,0,Charleroi,0
Algeria,Group J,25,FW,Farès Ghedjemis,2002-09-06,23,1,1,Frosinone,0
Algeria,Group J,26,DF,Samir Chergui,1999-02-06,27,4,0,Paris FC,0
