team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Argentina,Group J,1,GK,Juan Musso,1994-05-06,32,3,0,Atlético Madrid,0
Argentina,Group J,2,DF,Leonardo Balerdi,1999-01-26,27,11,0,Marseille,0
Argentina,Group J,3,DF,Nicolás Tagliafico,1992-08-31,33,75,1,Lyon,0
Argentina,Group J,4,DF,Gonzalo Montiel,1997-01-01,29,38,2,River Plate,0
Argentina,Group J,5,MF,Leandro Paredes,1994-06-29,31,77,5,Boca Juniors,0
Argentina,Group J,6,DF,Lisandro Martínez,1998-01-18,28,26,1,Manchester United,0
Argentina,Group J,7,MF,Rodrigo De Paul,1994-05-24,32,85,2,Inter Miami CF,0
Argentina,Group J,8,MF,Valentín Barco,2004-07-23,21,2,1,Strasbourg,0
Argentina,Group J,9,FW,Julián Alvarez,2000-01-31,26,51,14,Atlético Madrid,0
Argentina,Group J,10,FW,Lionel Messi,1987-06-24,38,198,116,Inter Miami CF,1
Argentina,Group J,11,MF,Giovani Lo Celso,1996-04-09,30,65,4,Real Betis,0
Argentina,Group J,12,GK,Gerónimo Rulli,1992-05-20,34,7,0,Marseille,0
Argentina,Group J,13,DF,Cristian Romero,1998-04-27,28,49,3,Tottenham Hotspur,0
Argentina,Group J,14,MF,Exequiel Palacios,1998-10-05,27,38,0,Bayer Leverkusen,0
Argentina,Group J,15,MF,Nicolás González,1998-04-06,28,50,6,Atlético Madrid,0
Argentina,Group J,16,FW,Thiago Almada,2001-04-26,25,14,4,Atlético Madrid,0
Argentina,Group J,17,FW,Giuliano Simeone,2002-12-18,23,11,1,Atlético Madrid,0
Argentina,Group J,18,FW,Nico Paz,2004-09-08,21,8,1,Como,0
Argentina,Group J,19,DF,Nicolás Otamendi,1988-02-12,38,130,8,Benfica,0
Argentina,Group J,20,MF,Alexis Mac Allister,1998-12-24,27,44,6,Liverpool,0
Argentina,Group J,21,FW,José Manuel López,2000-12-06,25,3,0,Palmeiras,0
Argentina,Group J,22,FW,Lautaro Martínez,1997-08-22,28,75,36,Inter Milan,0
Argentina,Group J,23,GK,Emiliano Martínez,1992-09-02,33,59,0,Aston Villa,0
Argentina,Group J,24,MF,Enzo Fernández,2001-01-17,25,40,6,Chelsea,0
Argentina,Group J,25,DF,Facundo Medina,1999-05-28,27,7,0,Marseille,0
Argentina,Group J,26,DF,Nahuel Molina,1998-04-06,28,58,1,Atlético Madrid,0
