team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Australia,Group D,1,GK,Mathew Ryan,1992-04-08,34,104,0,Levante,1
Australia,Group D,2,DF,Miloš Degenek,1994-04-28,32,56,1,APOEL,0
Australia,Group D,3,DF,Alessandro Circati,2003-10-10,22,12,1,Parma,0
Australia,Group D,4,DF,Jacob Italiano,2001-07-30,24,4,0,GAK,0
Australia,Group D,5,DF,Jordan Bos,2002-10-29,23,26,4,Feyenoord,0
Australia,Group D,6,DF,Jason Geria,1993-05-10,33,13,0,Albirex Niigata,0
Australia,Group D,7,FW,Mathew Leckie,1991-02-04,35,79,14,Melbourne City,0
Australia,Group D,8,MF,Connor Metcalfe,1999-11-05,26,35,1,FC St. Pauli,0
Australia,Group D,9,FW,Mohamed Touré,2004-03-26,22,9,2,Norwich City,0
Australia,Group D,10,FW,Ajdin Hrustic,1996-07-05,29,37,4,Heracles Almelo,0
Australia,Group D,11,FW,Awer Mabil,1995-09-15,30,38,10,Castellón,0
Australia,Group D,12,GK,Paul Izzo,1995-01-06,31,4,0,Randers,0
Australia,Group D,13,MF,Aiden O'Neill,1998-07-04,27,30,0,New York City FC,0
Australia,Group D,14,MF,Cammy Devlin,1998-06-07,28,4,0,Heart of Midlothian,0
Australia,Group D,15,DF,Kai Trewin,2001-05-18,25,5,0,New York City FC,0
Australia,Group D,16,DF,Aziz Behich,1990-12-16,35,83,3,Melbourne City,0
Australia,Group D,17,FW,Nestory Irankunda,2006-02-09,20,14,5,Watford,0
Australia,Group D,18,GK,Patrick Beach,2003-08-06,22,1,0,Melbourne City,0
Australia,Group D,19,DF,Harry Souttar,1998-10-22,27,37,11,Leicester City,0
Australia,Group D,20,FW,Cristian Volpato,2003-11-15,22,0,0,Sassuolo,0
Australia,Group D,21,DF,Cameron Burgess,1995-10-21,30,26,0,Swansea City,0
Australia,Group D,22,MF,Jackson Irvine,1993-03-07,33,81,14,FC St. Pauli,0
Australia,Group D,23,FW,Nishan Velupillay,2001-05-07,25,7,3,Melbourne Victory,0
Australia,Group D,24,MF,Paul Okon-Engstler,2005-01-24,21,5,0,Sydney FC,0
Australia,Group D,25,DF,Lucas Herrington,2007-09-05,18,3,0,Colorado Rapids,0
Australia,Group D,26,FW,Tete Yengi,2000-11-28,25,0,0,Machida Zelvia,0
