team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Austria,Group J,1,GK,Alexander Schlager,1996-02-01,30,26,0,Red Bull Salzburg,0
Austria,Group J,2,DF,David Affengruber,2001-03-19,25,1,0,Elche,0
Austria,Group J,3,DF,Kevin Danso,1998-09-19,27,32,0,Tottenham Hotspur,0
Austria,Group J,4,MF,Xaver Schlager,1997-09-28,28,51,4,RB Leipzig,0
Austria,Group J,5,DF,Stefan Posch,1997-05-14,29,52,5,Mainz 05,0
Austria,Group J,6,MF,Nicolas Seiwald,2001-05-04,25,47,1,RB Leipzig,0
Austria,Group J,7,FW,Marko Arnautović,1989-04-19,37,133,47,Red Star Belgrade,0
Austria,Group J,8,DF,David Alaba,1992-06-24,33,113,15,Real Madrid,1
Austria,Group J,9,MF,Marcel Sabitzer,1994-03-17,32,98,26,Borussia Dortmund,0
Austria,Group J,10,MF,Florian Grillitsch,1995-08-07,30,58,1,Braga,0
Austria,Group J,11,FW,Michael Gregoritsch,1994-04-18,32,75,24,FC Augsburg,0
Austria,Group J,12,GK,Florian Wiegele,2001-03-21,25,1,0,Viktoria Plzeň,0
Austria,Group J,13,GK,Patrick Pentz,1997-01-02,29,18,0,Brøndby,0
Austria,Group J,14,FW,Saša Kalajdžić,1997-07-07,28,22,4,LASK,0
Austria,Group J,15,DF,Philipp Lienhart,1996-07-11,29,41,3,SC Freiburg,0
Austria,Group J,16,DF,Phillipp Mwene,1994-01-29,32,30,0,Mainz 05,0
Austria,Group J,17,MF,Carney Chukwuemeka,2003-10-20,22,3,1,Borussia Dortmund,0
Austria,Group J,18,MF,Romano Schmid,2000-01-27,26,34,3,Werder Bremen,0
Austria,Group J,20,MF,Konrad Laimer,1997-05-27,29,57,7,Bayern Munich,0
Austria,Group J,21,FW,Patrick Wimmer,2001-05-30,25,30,1,VfL Wolfsburg,0
Austria,Group J,22,MF,Alexander Prass,2001-05-26,25,19,0,TSG Hoffenheim,0
Austria,Group J,23,DF,Marco Friedl,1998-03-16,28,11,0,Werder Bremen,0
Austria,Group J,24,MF,Paul Wanner,2005-12-23,20,3,0,PSV Eindhoven,0
Austria,Group J,25,DF,Michael Svoboda,1998-10-15,27,4,0,Venezia,0
Austria,Group J,26,MF,Alessandro Schöpf,1994-02-07,32,35,6,Wolfsberger AC,0
