team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Bosnia and Herzegovina,Group B,1,GK,Nikola Vasilj,1995-12-02,30,25,0,FC St. Pauli,0
Bosnia and Herzegovina,Group B,2,DF,Nihad Mujakić,1998-04-15,28,11,1,Gaziantep,0
Bosnia and Herzegovina,Group B,3,DF,Dennis Hadžikadunić,1998-07-09,27,31,0,Sampdoria,0
Bosnia and Herzegovina,Group B,4,DF,Tarik Muharemović,2003-02-28,23,13,1,Sassuolo,0
Bosnia and Herzegovina,Group B,5,DF,Sead Kolašinac,1993-06-20,32,64,0,Atalanta,0
Bosnia and Herzegovina,Group B,6,MF,Benjamin Tahirović,2003-03-03,23,27,2,Brøndby,0
Bosnia and Herzegovina,Group B,7,DF,Amar Dedić,2002-08-18,23,27,1,Benfica,0
Bosnia and Herzegovina,Group B,8,MF,Armin Gigović,2002-04-06,24,19,1,Young Boys,0
Bosnia and Herzegovina,Group B,9,FW,Samed Baždar,2004-01-31,22,12,1,Jagiellonia Białystok,0
Bosnia and Herzegovina,Group B,10,FW,Ermedin Demirović,1998-03-25,28,39,4,VfB Stuttgart,0
Bosnia and Herzegovina,Group B,11,FW,Edin Džeko,1986-03-17,40,148,73,Schalke 04,1
Bosnia and Herzegovina,Group B,12,GK,Mladen Jurkas,2007-10-07,18,0,0,Borac Banja Luka,0
Bosnia and Herzegovina,Group B,13,MF,Ivan Bašić,2002-04-30,24,16,0,Astana,0
Bosnia and Herzegovina,Group B,14,MF,Ivan Šunjić,1996-10-09,29,11,0,Pafos,0
Bosnia and Herzegovina,Group B,15,MF,Amar Memić,2001-01-20,25,12,1,Viktoria Plzeň,0
Bosnia and Herzegovina,Group B,16,MF,Amir Hadžiahmetović,1997-03-08,29,35,0,Hull City,0
Bosnia and Herzegovina,Group B,17,MF,Dženis Burnić,1998-05-22,28,19,0,Karlsruher SC,0
Bosnia and Herzegovina,Group B,18,DF,Nikola Katić,1996-10-10,29,16,1,Schalke 04,0
Bosnia and Herzegovina,Group B,19,FW,Kerim Alajbegović,2007-09-21,18,9,1,Red Bull Salzburg,0
Bosnia and Herzegovina,Group B,20,FW,Esmir Bajraktarević,2005-03-10,21,15,1,PSV Eindhoven,0
Bosnia and Herzegovina,Group B,21,DF,Stjepan Radeljić,1997-09-05,28,5,0,Rijeka,0
Bosnia and Herzegovina,Group B,22,GK,Martin Zlomislić,1998-08-16,27,3,0,Rijeka,0
Bosnia and Herzegovina,Group B,23,FW,Haris Tabaković,1994-06-20,31,10,4,Borussia Mönchengladbach,0
Bosnia and Herzegovina,Group B,24,DF,Nidal Čelik,2006-07-17,19,1,0,Lens,0
Bosnia and Herzegovina,Group B,25,FW,Jovo Lukić,1998-11-28,27,2,0,Universitatea Cluj,0
Bosnia and Herzegovina,Group B,26,MF,Ermin Mahmić,2005-03-14,21,1,0,Slovan Liberec,0
