team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Canada,Group B,1,GK,Dayne St. Clair,1997-05-09,29,20,0,Inter Miami CF,0
Canada,Group B,2,DF,Alistair Johnston,1998-10-08,27,57,1,Celtic,0
Canada,Group B,3,DF,Alfie Jones,1997-10-07,28,2,0,Middlesbrough,0
Canada,Group B,4,DF,Luc de Fougerolles,2005-10-12,20,12,0,Dender,0
Canada,Group B,5,DF,Joel Waterman,1996-01-24,30,17,0,Chicago Fire FC,0
Canada,Group B,6,MF,Mathieu Choinière,1999-02-07,27,23,0,Los Angeles FC,0
Canada,Group B,7,MF,Stephen Eustáquio,1996-12-21,29,55,4,Los Angeles FC,0
Canada,Group B,8,MF,Ismaël Koné,2002-06-16,23,39,4,Sassuolo,0
Canada,Group B,9,FW,Cyle Larin,1995-04-17,31,89,30,Southampton,0
Canada,Group B,10,FW,Jonathan David,2000-01-14,26,76,39,Juventus,0
Canada,Group B,11,MF,Liam Millar,1999-09-27,26,40,1,Hull City,0
Canada,Group B,12,FW,Tani Oluwaseyi,2000-05-15,26,23,2,Villarreal,0
Canada,Group B,13,DF,Derek Cornelius,1997-11-25,28,43,1,Rangers,0
Canada,Group B,14,MF,Jacob Shaffelburg,1999-11-26,26,31,6,Los Angeles FC,0
Canada,Group B,15,DF,Moïse Bombito,2000-03-30,26,20,0,Nice,0
Canada,Group B,16,GK,Maxime Crépeau,1994-05-11,32,31,0,Orlando City SC,0
Canada,Group B,17,FW,Tajon Buchanan,1999-02-08,27,59,8,Villarreal,0
Canada,Group B,18,GK,Owen Goodman,2003-11-27,22,0,0,Barnsley,0
Canada,Group B,19,DF,Alphonso Davies,2000-11-02,25,58,15,Bayern Munich,1
Canada,Group B,20,FW,Ali Ahmed,2000-10-10,25,24,1,Norwich City,0
Canada,Group B,21,MF,Jonathan Osorio,1992-06-12,33,90,10,Toronto FC,0
Canada,Group B,22,DF,Richie Laryea,1995-01-07,31,74,1,Toronto FC,0
Canada,Group B,23,DF,Niko Sigur,2003-09-09,22,18,2,Hajduk Split,0
Canada,Group B,24,FW,Promise David,2001-07-03,24,9,3,Union Saint-Gilloise,0
Canada,Group B,25,MF,Nathan Saliba,2004-02-07,22,14,2,Anderlecht,0
