team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Cape Verde,Group H,1,GK,Vozinha,1986-06-03,40,86,0,Chaves,0
Cape Verde,Group H,2,DF,Stopira,1988-05-20,38,61,4,Torreense,0
Cape Verde,Group H,3,DF,Diney,1995-01-17,31,30,2,Al Bataeh,0
Cape Verde,Group H,4,DF,Roberto Lopes,1992-06-17,33,45,0,Shamrock Rovers,0
Cape Verde,Group H,5,DF,Logan Costa,2001-04-01,25,27,0,Villarreal,0
Cape Verde,Group H,6,MF,Kevin Pina,1997-01-27,29,31,3,Krasnodar,0
Cape Verde,Group H,7,MF,Jovane Cabral,1998-06-14,27,26,2,Estrela Amadora,0
Cape Verde,Group H,8,MF,João Paulo,1998-05-26,28,41,1,FCSB,0
Cape Verde,Group H,9,FW,Gilson Benchimol,2001-12-29,24,22,6,Akron Tolyatti,0
Cape Verde,Group H,10,MF,Jamiro Monteiro,1993-11-23,32,54,5,PEC Zwolle,0
Cape Verde,Group H,11,MF,Garry Rodrigues,1990-11-27,35,59,9,Apollon Limassol,0
Cape Verde,Group H,12,GK,Márcio Rosa,1997-02-23,29,10,0,Montana,0
Cape Verde,Group H,13,DF,Sidny Lopes Cabral,2002-09-18,23,9,3,Benfica,0
Cape Verde,Group H,14,MF,Deroy Duarte,1999-07-04,26,30,0,Ludogorets Razgrad,0
Cape Verde,Group H,15,MF,Laros Duarte,1997-02-28,29,13,1,Puskás Akadémia,0
Cape Verde,Group H,16,MF,Yannick Semedo,1995-12-29,30,10,1,Farense,0
Cape Verde,Group H,17,MF,Willy Semedo,1994-04-27,32,37,2,Omonia,0
Cape Verde,Group H,18,MF,Telmo Arcanjo,2001-06-21,24,15,1,Vitória de Guimarães,0
Cape Verde,Group H,19,FW,Dailon Livramento,2001-05-04,25,21,7,Casa Pia,0
Cape Verde,Group H,20,FW,Ryan Mendes,1990-01-08,36,97,22,Iğdır,1
Cape Verde,Group H,21,MF,Nuno da Costa,1991-02-10,35,8,1,İstanbul Başakşehir,0
Cape Verde,Group H,22,DF,Steven Moreira,1994-08-13,31,19,0,Columbus Crew,0
Cape Verde,Group H,23,GK,CJ dos Santos,2000-08-24,25,1,0,San Diego FC,0
Cape Verde,Group H,24,DF,Wagner Pina,2002-11-03,23,13,0,Trabzonspor,0
Cape Verde,Group H,25,DF,Kelvin Pires,2000-06-05,26,5,1,SJK,0
Cape Verde,Group H,26,MF,Hélio Varela,2002-05-03,24,20,0,Maccabi Tel Aviv,0
