team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Croatia,Group L,1,GK,Dominik Livaković,1995-01-09,31,74,0,Dinamo Zagreb,0
Croatia,Group L,2,DF,Josip Stanišić,2000-04-02,26,30,0,Bayern Munich,0
Croatia,Group L,3,DF,Marin Pongračić,1997-09-11,28,19,0,Fiorentina,0
Croatia,Group L,4,DF,Joško Gvardiol,2002-01-23,24,47,4,Manchester City,0
Croatia,Group L,5,DF,Duje Ćaleta-Car,1996-09-17,29,38,1,Real Sociedad,0
Croatia,Group L,6,DF,Josip Šutalo,2000-02-28,26,32,0,Ajax,0
Croatia,Group L,7,MF,Nikola Moro,1998-03-12,28,10,0,Bologna,0
Croatia,Group L,8,MF,Mateo Kovačić,1994-05-06,32,112,5,Manchester City,0
Croatia,Group L,9,FW,Andrej Kramarić,1991-06-19,34,115,36,TSG Hoffenheim,0
Croatia,Group L,10,MF,Luka Modrić,1985-09-09,40,197,28,Milan,1
Croatia,Group L,11,FW,Ante Budimir,1991-07-22,34,37,6,Osasuna,0
Croatia,Group L,12,GK,Ivor Pandur,2000-03-25,26,0,0,Hull City,0
Croatia,Group L,13,MF,Nikola Vlašić,1997-10-04,28,62,10,Torino,0
Croatia,Group L,14,FW,Ivan Perišić,1989-02-02,37,153,38,PSV Eindhoven,0
Croatia,Group L,15,MF,Mario Pašalić,1995-02-09,31,84,11,Atalanta,0
Croatia,Group L,16,MF,Martin Baturina,2003-02-16,23,18,1,Como,0
Croatia,Group L,17,MF,Petar Sučić,2003-10-25,22,16,1,Inter Milan,0
Croatia,Group L,18,DF,Kristijan Jakić,1997-05-14,29,17,2,FC Augsburg,0
Croatia,Group L,19,MF,Toni Fruk,2001-03-09,25,7,1,Rijeka,0
Croatia,Group L,20,FW,Igor Matanović,2003-03-31,23,8,2,SC Freiburg,0
Croatia,Group L,21,MF,Luka Sučić,2002-09-08,23,20,1,Real Sociedad,0
Croatia,Group L,22,DF,Luka Vušković,2007-02-24,19,5,1,Hamburger SV,0
Croatia,Group L,23,GK,Dominik Kotarski,2000-02-10,26,4,0,Copenhagen,0
Croatia,Group L,24,FW,Marco Pašalić,2000-09-14,25,14,1,Orlando City SC,0
Croatia,Group L,25,DF,Martin Erlić,1998-01-24,28,12,1,Midtjylland,0
Croatia,Group L,26,FW,Petar Musa,1998-03-04,28,11,1,FC Dallas,0
