team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Curaçao,Group E,1,GK,Eloy Room,1989-02-06,37,71,0,Miami FC,0
Curaçao,Group E,2,DF,Shurandy Sambo,2001-08-19,24,7,0,Sparta Rotterdam,0
Curaçao,Group E,3,DF,Juriën Gaari,1993-12-23,32,59,1,Abha,0
Curaçao,Group E,4,DF,Roshon van Eijma,1998-06-09,28,27,1,RKC Waalwijk,0
Curaçao,Group E,5,DF,Sherel Floranus,1998-08-23,27,27,0,PEC Zwolle,0
Curaçao,Group E,6,MF,Godfried Roemeratoe,1999-08-19,26,27,1,RKC Waalwijk,0
Curaçao,Group E,7,MF,Juninho Bacuna,1997-08-07,28,48,14,Volendam,0
Curaçao,Group E,8,MF,Livano Comenencia,2004-02-03,22,19,1,Zürich,0
Curaçao,Group E,9,FW,Jürgen Locadia,1993-11-07,32,13,1,Miami FC,0
Curaçao,Group E,10,MF,Leandro Bacuna,1991-08-21,34,71,16,Iğdır,1
Curaçao,Group E,11,FW,Jeremy Antonisse,2002-03-29,24,26,3,Kifisia,0
Curaçao,Group E,12,FW,Sontje Hansen,2002-05-18,24,5,1,Middlesbrough,0
Curaçao,Group E,13,FW,Tyrese Noslin,2002-09-11,23,6,1,Telstar,0
Curaçao,Group E,14,FW,Kenji Gorré,1994-09-29,31,37,6,Maccabi Haifa,0
Curaçao,Group E,15,MF,Ar'jany Martha,2003-09-04,22,8,2,Rotherham United,0
Curaçao,Group E,16,FW,Jearl Margaritha,2000-04-10,26,21,5,Beveren,0
Curaçao,Group E,17,FW,Brandley Kuwas,1992-09-19,33,34,2,Volendam,0
Curaçao,Group E,18,DF,Armando Obispo,1999-03-05,27,5,0,PSV Eindhoven,0
Curaçao,Group E,19,FW,Gervane Kastaneer,1996-06-09,30,28,9,Terengganu,0
Curaçao,Group E,20,DF,Joshua Brenet,1994-03-20,32,17,1,Kayserispor,0
Curaçao,Group E,21,MF,Tahith Chong,1999-12-04,26,5,3,Sheffield United,0
Curaçao,Group E,22,MF,Kevin Felida,1999-11-11,26,19,1,Den Bosch,0
Curaçao,Group E,23,DF,Riechedly Bazoer,1996-10-12,29,4,0,Konyaspor,0
Curaçao,Group E,24,DF,Deveron Fonville,2003-05-16,23,1,0,NEC,0
Curaçao,Group E,25,GK,Tyrick Bodak,2002-05-15,24,4,0,Telstar,0
Curaçao,Group E,26,GK,Trevor Doornbusch,1999-07-06,26,7,0,VVV-Venlo,0
