team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
DR Congo,Group K,1,GK,Lionel Mpasi,1994-08-01,31,28,0,Le Havre,0
DR Congo,Group K,2,DF,Aaron Wan-Bissaka,1997-11-26,28,11,0,West Ham United,0
DR Congo,Group K,3,DF,Steve Kapuadi,1998-04-30,28,4,0,Widzew Łódź,0
DR Congo,Group K,4,DF,Axel Tuanzebe,1997-11-14,28,13,1,Burnley,0
DR Congo,Group K,5,DF,Dylan Batubinsika,1996-02-15,30,14,1,AEL,0
DR Congo,Group K,6,MF,Ngal'ayel Mukau,2004-11-03,21,13,0,Lille,0
DR Congo,Group K,7,MF,Nathanaël Mbuku,2002-03-16,24,18,2,Montpellier,0
DR Congo,Group K,8,MF,Samuel Moutoussamy,1996-08-12,29,57,0,Atromitos,0
DR Congo,Group K,9,FW,Brian Cipenga,1998-03-11,28,7,0,Castellón,0
DR Congo,Group K,10,MF,Théo Bongonda,1995-11-20,30,37,7,Spartak Moscow,0
DR Congo,Group K,11,FW,Gaël Kakuta,1991-06-21,34,30,5,AEL,0
DR Congo,Group K,12,DF,Joris Kayembe,1994-08-08,31,25,0,Genk,0
DR Congo,Group K,13,FW,Meschak Elia,1997-08-06,28,68,12,Alanyaspor,0
DR Congo,Group K,14,MF,Noah Sadiki,2004-12-17,21,19,0,Sunderland,0
DR Congo,Group K,15,MF,Aaron Tshibola,1995-01-02,31,16,1,Kilmarnock,0
DR Congo,Group K,16,GK,Timothy Fayulu,1999-07-24,26,3,0,Noah,0
DR Congo,Group K,17,FW,Cédric Bakambu,1991-04-11,35,69,21,Real Betis,0
DR Congo,Group K,18,MF,Charles Pickel,1997-05-15,29,34,1,Espanyol,0
DR Congo,Group K,19,FW,Fiston Mayele,1994-06-24,31,37,6,Pyramids,0
DR Congo,Group K,20,FW,Yoane Wissa,1996-09-03,29,37,9,Newcastle United,0
DR Congo,Group K,21,GK,Matthieu Epolo,2005-01-15,21,1,0,Standard Liège,0
DR Congo,Group K,22,DF,Chancel Mbemba,1994-08-08,31,108,7,Lille,1
DR Congo,Group K,23,FW,Simon Banza,1996-08-13,29,15,2,Al Jazira,0
DR Congo,Group K,24,DF,Gédéon Kalulu,1997-08-29,28,28,0,Aris Limassol,0
DR Congo,Group K,25,MF,Edo Kayembe,1998-06-03,28,42,2,Watford,0
DR Congo,Group K,26,DF,Arthur Masuaku,1993-11-07,32,45,4,Lens,0
