team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Ecuador,Group E,1,GK,Hernán Galíndez,1987-03-30,39,34,0,Huracán,0
Ecuador,Group E,2,DF,Félix Torres,1997-01-11,29,48,5,Internacional,0
Ecuador,Group E,3,DF,Piero Hincapié,2002-01-09,24,51,3,Arsenal,0
Ecuador,Group E,4,DF,Joel Ordóñez,2004-04-21,22,16,0,Club Brugge,0
Ecuador,Group E,5,MF,Jordy Alcívar,1999-08-05,26,10,1,Independiente del Valle,0
Ecuador,Group E,6,DF,Willian Pacho,2001-10-16,24,34,2,Paris Saint-Germain,0
Ecuador,Group E,7,DF,Pervis Estupiñán,1998-01-21,28,53,4,Milan,0
Ecuador,Group E,8,MF,Anthony Valencia,2003-07-21,22,2,1,Antwerp,0
Ecuador,Group E,9,FW,John Yeboah,2000-06-23,25,22,3,Venezia,0
Ecuador,Group E,10,MF,Kendry Páez,2007-05-04,19,25,2,River Plate,0
Ecuador,Group E,11,FW,Kevin Rodríguez,2000-03-04,26,31,2,Union Saint-Gilloise,0
Ecuador,Group E,12,GK,Moisés Ramírez,2000-09-09,25,7,0,Kifisia,0
Ecuador,Group E,13,FW,Enner Valencia,1989-11-04,36,105,49,Pachuca,1
Ecuador,Group E,14,MF,Alan Minda,2003-05-14,23,19,2,Atlético Mineiro,0
Ecuador,Group E,15,MF,Pedro Vite,2002-03-09,24,16,1,UNAM,0
Ecuador,Group E,16,FW,Jordy Caicedo,1997-11-18,28,19,3,Huracán,0
Ecuador,Group E,17,DF,Ángelo Preciado,1998-02-18,28,54,0,Atlético Mineiro,0
Ecuador,Group E,18,MF,Denil Castillo,2004-03-24,22,5,0,Midtjylland,0
Ecuador,Group E,19,FW,Gonzalo Plata,2000-11-01,25,49,8,Flamengo,0
Ecuador,Group E,20,FW,Nilson Angulo,2003-06-19,22,13,1,Sunderland,0
Ecuador,Group E,21,MF,Alan Franco,1998-08-21,27,57,1,Atlético Mineiro,0
Ecuador,Group E,22,GK,Gonzalo Valle,1996-02-28,30,3,0,LDU Quito,0
Ecuador,Group E,23,MF,Moisés Caicedo,2001-11-02,24,60,3,Chelsea,0
Ecuador,Group E,24,FW,Jeremy Arévalo,2005-03-19,21,3,0,VfB Stuttgart,0
Ecuador,Group E,25,DF,Jackson Porozo,2000-08-04,25,9,1,Tijuana,0
Ecuador,Group E,26,DF,Yaimar Medina,2004-11-05,21,5,0,Genk,0
