team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Ghana,Group L,1,GK,Lawrence Ati-Zigi,1996-11-29,29,29,0,St. Gallen,0
Ghana,Group L,2,DF,Alidu Seidu,2000-06-04,26,24,1,Rennes,0
Ghana,Group L,3,MF,Caleb Yirenkyi,2006-01-15,20,11,1,Nordsjælland,0
Ghana,Group L,4,DF,Jonas Adjetey,2003-12-13,22,10,0,VfL Wolfsburg,0
Ghana,Group L,5,MF,Thomas Partey,1993-06-13,32,57,15,Villarreal,0
Ghana,Group L,6,DF,Abdul Mumin,1998-06-06,28,5,0,Rayo Vallecano,0
Ghana,Group L,7,FW,Abdul Fatawu,2004-03-08,22,28,3,Leicester City,0
Ghana,Group L,8,MF,Kwasi Sibo,1998-06-24,27,8,0,Oviedo,0
Ghana,Group L,9,FW,Jordan Ayew,1991-09-11,34,120,34,Leicester City,1
Ghana,Group L,10,FW,Brandon Thomas-Asante,1998-12-29,27,8,1,Coventry City,0
Ghana,Group L,11,MF,Antoine Semenyo,2000-01-07,26,34,3,Manchester City,0
Ghana,Group L,12,GK,Joseph Anang,2000-06-08,26,1,0,St Patrick's Athletic,0
Ghana,Group L,13,FW,Christopher Bonsu Baah,2004-12-14,21,9,0,Al-Qadsiah,0
Ghana,Group L,14,DF,Gideon Mensah,1998-07-18,27,40,0,Auxerre,0
Ghana,Group L,15,MF,Elisha Owusu,1997-11-07,28,20,0,Auxerre,0
Ghana,Group L,16,GK,Benjamin Asare,1992-07-13,33,11,0,Hearts of Oak,0
Ghana,Group L,17,DF,Abdul Rahman Baba,1994-07-02,31,51,1,PAOK,0
Ghana,Group L,18,DF,Jerome Opoku,1998-10-14,27,11,1,İstanbul Başakşehir,0
Ghana,Group L,19,FW,Iñaki Williams,1994-06-15,31,26,2,Athletic Bilbao,0
Ghana,Group L,20,MF,Augustine Boakye,2000-11-03,25,0,0,Saint-Étienne,0
Ghana,Group L,21,DF,Kojo Peprah Oppong,2004-06-04,22,4,0,Nice,0
Ghana,Group L,22,FW,Kamaldeen Sulemana,2002-02-15,24,28,1,Atalanta,0
Ghana,Group L,23,DF,Derrick Luckassen,1995-07-03,30,1,0,Pafos,0
Ghana,Group L,24,FW,Ernest Nuamah,2003-11-01,22,18,4,Lyon,0
Ghana,Group L,25,FW,Prince Kwabena Adu,2003-09-23,22,5,0,Viktoria Plzeň,0
Ghana,Group L,26,DF,Marvin Senaya,2001-01-28,25,2,0,Auxerre,0
