team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Haiti,Group C,1,GK,Johny Placide,1988-01-29,38,80,0,Bastia,1
Haiti,Group C,2,DF,Carlens Arcus,1996-06-28,29,52,1,Angers,0
Haiti,Group C,3,DF,Keeto Thermoncy,2006-03-29,20,1,0,Young Boys,0
Haiti,Group C,4,DF,Ricardo Adé,1990-05-21,36,58,2,LDU Quito,0
Haiti,Group C,5,DF,Hannes Delcroix,1999-02-28,27,6,0,Lugano,0
Haiti,Group C,6,MF,Carl Sainté,2002-08-09,23,26,0,El Paso Locomotive FC,0
Haiti,Group C,7,FW,Derrick Etienne Jr.,1996-11-25,29,47,8,Toronto FC,0
Haiti,Group C,8,DF,Martin Expérience,1999-03-09,27,20,0,Nancy,0
Haiti,Group C,9,FW,Duckens Nazon,1994-04-07,32,77,44,Esteghlal,0
Haiti,Group C,10,MF,Jean-Ricner Bellegarde,1998-06-27,27,9,0,Wolverhampton Wanderers,0
Haiti,Group C,11,FW,Louicius Deedson,2001-02-11,25,31,10,FC Dallas,0
Haiti,Group C,12,GK,Alexandre Pierre,2001-02-25,25,15,0,Sochaux,0
Haiti,Group C,13,DF,Duke Lacroix,1993-10-14,32,15,3,Colorado Springs Switchbacks FC,0
Haiti,Group C,14,MF,Leverton Pierre,1998-03-09,28,33,0,Vizela,0
Haiti,Group C,15,FW,Ruben Providence,2001-07-07,24,14,3,Almere City,0
Haiti,Group C,16,FW,Lenny Joseph,2000-10-12,25,1,1,Ferencváros,0
Haiti,Group C,17,MF,Danley Jean Jacques,2000-05-20,26,29,6,Philadelphia Union,0
Haiti,Group C,18,FW,Wilson Isidor,2000-08-27,25,3,1,Sunderland,0
Haiti,Group C,19,FW,Yassin Fortuné,1999-01-30,27,4,0,Vizela,0
Haiti,Group C,20,FW,Frantzdy Pierrot,1995-03-29,31,50,34,Çaykur Rizespor,0
Haiti,Group C,21,FW,Josué Casimir,2001-09-24,24,6,0,Auxerre,0
Haiti,Group C,22,DF,Jean-Kévin Duverne,1997-07-12,28,16,1,Gent,0
Haiti,Group C,23,GK,Josué Duverger,2000-04-27,26,6,0,Cosmos Koblenz,0
Haiti,Group C,24,DF,Wilguens Paugain,2001-08-24,24,7,0,Zulte Waregem,0
Haiti,Group C,25,MF,Dominique Simon,2000-07-29,25,1,0,Tatran Prešov,0
Haiti,Group C,26,MF,Woodensky Pierre,2004-12-30,21,1,0,Violette,0
