team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Iran,Group G,1,GK,Alireza Beiranvand,1992-09-21,33,85,0,Tractor,0
Iran,Group G,2,DF,Saleh Hardani,1998-12-26,27,17,1,Esteghlal,0
Iran,Group G,3,DF,Ehsan Hajsafi,1990-02-25,36,145,7,Sepahan,1
Iran,Group G,4,DF,Shojae Khalilzadeh,1989-05-14,37,57,2,Tractor,0
Iran,Group G,5,DF,Milad Mohammadi,1993-09-29,32,75,1,Persepolis,0
Iran,Group G,6,MF,Saeid Ezatolahi,1996-10-01,29,82,1,Shabab Al Ahli,0
Iran,Group G,7,MF,Alireza Jahanbakhsh,1993-08-11,32,98,17,Dender,0
Iran,Group G,8,MF,Mohammad Mohebi,1998-12-20,27,36,14,Rostov,0
Iran,Group G,9,FW,Mehdi Taremi,1992-07-18,33,104,60,Olympiacos,0
Iran,Group G,10,FW,Mehdi Ghayedi,1998-12-05,27,29,10,Al Nasr,0
Iran,Group G,11,FW,Ali Alipour,1995-11-11,30,13,1,Persepolis,0
Iran,Group G,12,GK,Payam Niazmand,1995-04-06,31,15,0,Persepolis,0
Iran,Group G,13,DF,Hossein Kanaanizadegan,1994-03-23,32,64,6,Persepolis,0
Iran,Group G,14,MF,Saman Ghoddos,1993-09-06,32,67,3,Kalba,0
Iran,Group G,15,MF,Rouzbeh Cheshmi,1993-07-24,32,40,3,Esteghlal,0
Iran,Group G,16,MF,Mehdi Torabi,1994-09-10,31,52,7,Tractor,0
Iran,Group G,17,DF,Aria Yousefi,2002-04-22,24,13,1,Sepahan,0
Iran,Group G,18,FW,Amirhossein Hosseinzadeh,2000-10-30,25,17,5,Tractor,0
Iran,Group G,19,DF,Ali Nemati,1996-02-08,30,16,0,Foolad,0
Iran,Group G,20,FW,Shahriyar Moghanlou,1994-12-21,31,20,2,Kalba,0
Iran,Group G,21,MF,Mohammad Ghorbani,2001-10-07,24,15,0,Al Wahda,0
Iran,Group G,22,GK,Hossein Hosseini,1992-06-30,33,13,0,Sepahan,0
Iran,Group G,23,DF,Ramin Rezaeian,1990-03-21,36,73,7,Foolad,0
Iran,Group G,24,FW,Dennis Eckert,1997-01-09,29,0,0,Standard Liège,0
Iran,Group G,25,DF,Danial Eiri,2003-10-26,22,0,0,Malavan,0
Iran,Group G,26,MF,Amirmohammad Razzaghinia,2006-04-11,20,3,0,Esteghlal,0
