team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Iraq,Group I,1,GK,Fahad Talib,1994-10-21,31,21,0,Al-Talaba,0
Iraq,Group I,2,DF,Rebin Sulaka,1992-04-12,34,54,1,Port,0
Iraq,Group I,3,DF,Hussein Ali,2002-03-01,24,25,1,Pogoń Szczecin,0
Iraq,Group I,4,DF,Zaid Tahseen,2001-01-29,25,26,1,Pakhtakor,0
Iraq,Group I,5,DF,Akam Hashim,1998-08-16,27,12,1,Al-Zawraa,0
Iraq,Group I,6,DF,Manaf Younis,1996-11-16,29,32,1,Al-Shorta,0
Iraq,Group I,7,MF,Youssef Amyn,2003-08-21,22,25,2,AEK Larnaca,0
Iraq,Group I,8,MF,Ibrahim Bayesh,2000-05-01,26,74,8,Al Dhafra,0
Iraq,Group I,9,FW,Ali Al-Hamadi,2002-03-01,24,18,5,Luton Town,0
Iraq,Group I,10,FW,Mohanad Ali,2000-06-20,25,71,27,Dibba,0
Iraq,Group I,11,FW,Ahmed Qasem,2003-07-12,22,1,0,Nashville SC,0
Iraq,Group I,12,GK,Jalal Hassan,1991-05-18,35,100,0,Al-Zawraa,1
Iraq,Group I,13,FW,Ali Yousif,1996-01-19,30,6,1,Al-Talaba,0
Iraq,Group I,14,MF,Zidane Iqbal,2003-04-27,23,23,2,Utrecht,0
Iraq,Group I,15,DF,Ahmed Yahya,1995-07-01,30,19,0,Al-Shorta,0
Iraq,Group I,16,MF,Amir Al-Ammari,1997-07-27,28,49,3,Cracovia,0
Iraq,Group I,17,FW,Ali Jasim,2004-01-20,22,35,2,Al-Najma,0
Iraq,Group I,18,FW,Aymen Hussein,1996-03-22,30,93,33,Al-Karma,0
Iraq,Group I,19,MF,Kevin Yakob,2000-10-10,25,7,0,AGF,0
Iraq,Group I,20,MF,Aimar Sher,2002-12-20,23,6,0,Sarpsborg 08,0
Iraq,Group I,21,FW,Marko Farji,2004-03-16,22,10,0,Venezia,0
Iraq,Group I,22,GK,Ahmed Basil,1996-08-19,29,14,0,Al-Shorta,0
Iraq,Group I,23,DF,Merchas Doski,1999-12-07,26,30,0,Viktoria Plzeň,0
Iraq,Group I,24,MF,Zaid Ismail,2002-01-03,24,5,0,Al-Talaba,0
Iraq,Group I,25,DF,Mustafa Saadoon,2001-05-25,25,15,0,Al-Shorta,0
Iraq,Group I,26,DF,Frans Putros,1993-07-14,32,26,0,Persib,0
