team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Ivory Coast,Group E,1,GK,Yahia Fofana,2000-08-21,25,34,0,Çaykur Rizespor,0
Ivory Coast,Group E,2,DF,Ousmane Diomande,2003-12-04,22,14,1,Sporting CP,0
Ivory Coast,Group E,3,DF,Ghislain Konan,1995-12-27,30,53,0,Gil Vicente,0
Ivory Coast,Group E,4,MF,Jean Michaël Seri,1991-07-19,34,65,4,Maribor,0
Ivory Coast,Group E,5,DF,Wilfried Singo,2000-12-25,25,33,1,Galatasaray,0
Ivory Coast,Group E,6,MF,Seko Fofana,1995-05-07,31,31,7,Porto,0
Ivory Coast,Group E,7,DF,Odilon Kossounou,2001-01-04,25,35,0,Atalanta,0
Ivory Coast,Group E,8,MF,Franck Kessié,1996-12-19,29,102,15,Al-Ahli,1
Ivory Coast,Group E,9,FW,Ange-Yoan Bonny,2003-10-25,22,0,0,Inter Milan,0
Ivory Coast,Group E,10,FW,Simon Adingra,2002-01-01,24,28,5,Monaco,0
Ivory Coast,Group E,11,FW,Yan Diomande,2006-11-14,19,9,3,RB Leipzig,0
Ivory Coast,Group E,12,FW,Elye Wahi,2003-01-02,23,1,0,Nice,0
Ivory Coast,Group E,13,DF,Christopher Opéri,1997-04-29,29,11,0,İstanbul Başakşehir,0
Ivory Coast,Group E,14,FW,Oumar Diakité,2003-12-20,22,28,6,Cercle Brugge,0
Ivory Coast,Group E,15,FW,Amad Diallo,2002-07-11,23,18,5,Manchester United,0
Ivory Coast,Group E,16,GK,Mohamed Koné,2002-03-07,24,0,0,Charleroi,0
Ivory Coast,Group E,17,DF,Guéla Doué,2002-10-17,23,19,2,Strasbourg,0
Ivory Coast,Group E,18,MF,Ibrahim Sangaré,1997-12-02,28,57,12,Nottingham Forest,0
Ivory Coast,Group E,19,FW,Nicolas Pépé,1995-05-29,31,54,12,Villarreal,0
Ivory Coast,Group E,20,DF,Emmanuel Agbadou,1997-06-17,28,19,2,Beşiktaş,0
Ivory Coast,Group E,21,DF,Evan Ndicka,1999-08-20,26,28,0,Roma,0
Ivory Coast,Group E,22,FW,Evann Guessand,2001-07-01,24,21,4,Crystal Palace,0
Ivory Coast,Group E,23,GK,Alban Lafont,1999-01-23,27,4,0,Panathinaikos,0
Ivory Coast,Group E,24,FW,Bazoumana Touré,2006-03-02,20,5,2,TSG Hoffenheim,0
Ivory Coast,Group E,25,MF,Parfait Guiagon,2001-02-22,25,5,0,Charleroi,0
Ivory Coast,Group E,26,MF,Christ Inao Oulaï,2006-04-06,20,8,0,Trabzonspor,0
