team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Japan,Group F,1,GK,Zion Suzuki,2002-08-21,23,24,0,Parma,0
Japan,Group F,2,DF,Yukinari Sugawara,2000-06-28,25,21,2,Werder Bremen,0
Japan,Group F,3,DF,Shōgo Taniguchi,1991-07-15,34,38,1,Sint-Truiden,0
Japan,Group F,4,DF,Kō Itakura,1997-01-27,29,40,2,Ajax,0
Japan,Group F,5,DF,Yūto Nagatomo,1986-09-12,39,145,4,FC Tokyo,0
Japan,Group F,6,MF,Wataru Endo,1993-02-09,33,73,4,Liverpool,1
Japan,Group F,7,MF,Ao Tanaka,1998-09-10,27,38,8,Leeds United,0
Japan,Group F,8,MF,Takefusa Kubo,2001-06-04,25,49,7,Real Sociedad,0
Japan,Group F,9,FW,Keisuke Gotō,2005-06-03,21,4,0,Sint-Truiden,0
Japan,Group F,10,MF,Ritsu Dōan,1998-06-16,27,65,11,Eintracht Frankfurt,0
Japan,Group F,11,MF,Daizen Maeda,1997-10-20,28,27,4,Celtic,0
Japan,Group F,12,GK,Keisuke Ōsako,1999-07-28,26,11,0,Sanfrecce Hiroshima,0
Japan,Group F,13,MF,Keito Nakamura,2000-07-28,25,25,10,Reims,0
Japan,Group F,14,MF,Junya Itō,1993-03-09,33,69,15,Genk,0
Japan,Group F,15,MF,Daichi Kamada,1996-08-05,29,49,12,Crystal Palace,0
Japan,Group F,16,DF,Tsuyoshi Watanabe,1997-02-05,29,11,0,Feyenoord,0
Japan,Group F,17,MF,Yuito Suzuki,2001-10-25,24,6,0,SC Freiburg,0
Japan,Group F,18,FW,Ayase Ueda,1998-08-28,27,39,16,Feyenoord,0
Japan,Group F,19,FW,Kōki Ogawa,1997-08-08,28,15,11,NEC,0
Japan,Group F,20,DF,Ayumu Seko,2000-06-07,26,14,0,Le Havre,0
Japan,Group F,21,DF,Hiroki Itō,1999-05-12,27,24,1,Bayern Munich,0
Japan,Group F,22,DF,Takehiro Tomiyasu,1998-11-05,27,43,1,Ajax,0
Japan,Group F,23,GK,Tomoki Hayakawa,1999-03-03,27,4,0,Kashima Antlers,0
Japan,Group F,24,MF,Kaishū Sano,2000-12-30,25,13,0,Mainz 05,0
Japan,Group F,25,DF,Junnosuke Suzuki,2003-07-12,22,6,0,Copenhagen,0
Japan,Group F,26,FW,Kento Shiogai,2005-03-26,21,2,0,VfL Wolfsburg,0
