team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Jordan,Group J,1,GK,Yazeed Abulaila,1993-01-08,33,75,0,Al-Hussein,0
Jordan,Group J,2,DF,Mohammad Abu Hashish,1995-05-09,31,55,1,Al-Karma,0
Jordan,Group J,3,DF,Abdallah Nasib,1994-02-25,32,64,3,Al-Zawraa,0
Jordan,Group J,4,DF,Husam Abu Dahab,2000-05-13,26,17,0,Al-Faisaly,0
Jordan,Group J,5,DF,Yazan Al-Arab,1996-01-31,30,79,3,FC Seoul,0
Jordan,Group J,6,MF,Amer Jamous,2002-07-03,23,18,1,Al-Zawraa,0
Jordan,Group J,7,FW,Mohammad Abu Zrayq,1997-12-30,28,40,5,Raja Casablanca,0
Jordan,Group J,8,MF,Noor Al-Rawabdeh,1997-02-24,29,67,3,Selangor,0
Jordan,Group J,9,FW,Ali Olwan,2000-03-26,26,65,29,Al-Sailiya,0
Jordan,Group J,10,FW,Musa Al-Taamari,1997-06-10,29,91,24,Rennes,0
Jordan,Group J,11,FW,Odeh Al-Fakhouri,2005-11-22,20,9,1,Pyramids,0
Jordan,Group J,12,GK,Nour Bani Attiah,1993-01-25,33,4,0,Al-Faisaly,0
Jordan,Group J,13,FW,Mahmoud Al-Mardi,1993-10-06,32,88,9,Al-Hussein,0
Jordan,Group J,14,MF,Rajaei Ayed,1993-07-25,32,72,0,Al-Hussein,0
Jordan,Group J,15,MF,Ibrahim Sadeh,2000-04-27,26,56,3,Al-Karma,0
Jordan,Group J,16,DF,Mo Abualnadi,2001-02-08,25,17,0,Selangor,0
Jordan,Group J,17,DF,Salim Obaid,1992-01-17,34,10,0,Al-Hussein,0
Jordan,Group J,18,FW,Ibrahim Sabra,2006-02-01,20,9,1,Lokomotiva Zagreb,0
Jordan,Group J,19,DF,Saed Al-Rosan,1997-02-01,29,20,2,Al-Hussein,0
Jordan,Group J,20,MF,Mohannad Abu Taha,2003-02-02,23,28,1,Al-Quwa Al-Jawiya,0
Jordan,Group J,21,MF,Nizar Al-Rashdan,1999-03-23,27,46,4,Qatar SC,0
Jordan,Group J,22,GK,Abdallah Al-Fakhouri,2000-01-22,26,11,0,Al-Wehdat,0
Jordan,Group J,23,DF,Ihsan Haddad,1994-02-05,32,91,2,Al-Hussein,1
Jordan,Group J,24,FW,Ali Azaizeh,2004-04-13,22,3,0,Al-Shabab,0
Jordan,Group J,25,MF,Mohammad Al-Dawoud,1992-04-12,34,12,1,Al-Wehdat,0
Jordan,Group J,26,DF,Anas Badawi,1997-09-13,28,1,0,Al-Faisaly,0
