team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Mexico,Group A,1,GK,Raúl Rangel,2000-02-25,26,13,0,Guadalajara,0
Mexico,Group A,2,DF,Jorge Sánchez,1997-12-10,28,58,3,PAOK,0
Mexico,Group A,3,DF,César Montes,1997-02-24,29,66,4,Lokomotiv Moscow,0
Mexico,Group A,4,DF,Edson Álvarez,1997-10-24,28,97,7,Fenerbahçe,1
Mexico,Group A,5,DF,Johan Vásquez,1998-10-22,27,45,2,Genoa,0
Mexico,Group A,6,MF,Érik Lira,2000-05-08,26,24,0,Cruz Azul,0
Mexico,Group A,7,MF,Luis Romo,1995-06-05,31,62,4,Guadalajara,0
Mexico,Group A,8,MF,Álvaro Fidalgo,1997-04-09,29,3,0,Real Betis,0
Mexico,Group A,9,FW,Raúl Jiménez,1991-05-05,35,123,44,Fulham,0
Mexico,Group A,10,FW,Alexis Vega,1997-11-25,28,51,7,Toluca,0
Mexico,Group A,11,FW,Santiago Giménez,2001-04-18,25,47,6,Milan,0
Mexico,Group A,12,GK,Carlos Acevedo,1996-04-19,30,7,0,Santos Laguna,0
Mexico,Group A,13,GK,Guillermo Ochoa,1985-07-13,40,152,0,AEL Limassol,0
Mexico,Group A,14,FW,Armando González,2003-04-20,23,7,1,Guadalajara,0
Mexico,Group A,15,DF,Israel Reyes,2000-05-23,26,33,2,América,0
Mexico,Group A,16,FW,Julián Quiñones,1997-03-24,29,21,2,Al-Qadsiah,0
Mexico,Group A,17,MF,Orbelín Pineda,1996-03-24,30,91,12,AEK Athens,0
Mexico,Group A,18,MF,Obed Vargas,2005-08-05,20,6,0,Atlético Madrid,0
Mexico,Group A,19,MF,Gilberto Mora,2008-10-14,17,7,0,Tijuana,0
Mexico,Group A,20,DF,Mateo Chávez,2004-05-12,22,9,0,AZ,0
Mexico,Group A,21,FW,César Huerta,2000-12-03,25,26,3,Anderlecht,0
Mexico,Group A,22,FW,Guillermo Martínez,1995-03-15,31,11,3,UNAM,0
Mexico,Group A,23,DF,Jesús Gallardo,1994-08-15,31,120,3,Toluca,0
Mexico,Group A,24,MF,Luis Chávez,1996-01-15,30,44,4,Dynamo Moscow,0
Mexico,Group A,25,FW,Roberto Alvarado,1998-09-07,27,66,5,Guadalajara,0
Mexico,Group A,26,MF,Brian Gutiérrez,2003-06-17,22,6,2,Guadalajara,0
