team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Morocco,Group C,1,GK,Yassine Bounou,1991-04-05,35,89,0,Al-Hilal,0
Morocco,Group C,2,DF,Achraf Hakimi,1998-11-04,27,95,11,Paris Saint-Germain,1
Morocco,Group C,3,DF,Noussair Mazraoui,1997-11-14,28,44,2,Manchester United,0
Morocco,Group C,4,MF,Sofyan Amrabat,1996-08-21,29,74,0,Real Betis,0
Morocco,Group C,5,DF,Nayef Aguerd,1996-03-30,30,64,2,Marseille,0
Morocco,Group C,6,MF,Ayyoub Bouaddi,2007-10-02,18,3,0,Lille,0
Morocco,Group C,7,MF,Chemsdine Talbi,2005-05-09,21,5,0,Sunderland,0
Morocco,Group C,8,MF,Azzedine Ounahi,2000-04-19,26,48,9,Girona,0
Morocco,Group C,9,FW,Soufiane Rahimi,1996-06-02,30,36,12,Al Ain,0
Morocco,Group C,10,FW,Brahim Díaz,1999-08-03,26,25,13,Real Madrid,0
Morocco,Group C,11,MF,Ismael Saibari,2001-01-28,25,30,9,PSV Eindhoven,0
Morocco,Group C,12,GK,Munir Mohamedi,1989-05-10,37,53,0,RS Berkane,0
Morocco,Group C,13,DF,Zakaria El Ouahdi,2001-12-31,24,2,0,Genk,0
Morocco,Group C,14,DF,Issa Diop,1997-01-09,29,3,0,Fulham,0
Morocco,Group C,15,MF,Samir El Mourabet,2005-10-06,20,3,0,Strasbourg,0
Morocco,Group C,16,MF,Gessime Yassine,2005-11-22,20,5,0,Strasbourg,0
Morocco,Group C,17,FW,Abde Ezzalzouli,2001-12-17,24,36,2,Real Betis,0
Morocco,Group C,18,DF,Chadi Riad,2003-06-17,22,5,1,Crystal Palace,0
Morocco,Group C,19,DF,Youssef Belammari,1998-09-20,27,18,0,Al Ahly,0
Morocco,Group C,20,FW,Ayoub El Kaabi,1993-06-25,32,71,37,Olympiacos,0
Morocco,Group C,21,FW,Ayoube Amaimouni,2004-11-30,21,1,0,Eintracht Frankfurt,0
Morocco,Group C,22,GK,Ahmed Reda Tagnaouti,1996-04-05,30,3,0,AS FAR,0
Morocco,Group C,23,MF,Bilal El Khannouss,2004-05-10,22,36,3,VfB Stuttgart,0
Morocco,Group C,24,MF,Neil El Aynaoui,2001-07-02,24,15,2,Roma,0
Morocco,Group C,25,DF,Redouane Halhal,2003-03-05,23,2,0,Mechelen,0
Morocco,Group C,26,DF,Anass Salah-Eddine,2002-01-18,24,9,0,PSV Eindhoven,0
