team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Netherlands,Group F,1,GK,Bart Verbruggen,2002-08-18,23,28,0,Brighton & Hove Albion,0
Netherlands,Group F,2,DF,Jurriën Timber,2001-06-17,24,24,0,Arsenal,0
Netherlands,Group F,3,MF,Marten de Roon,1991-03-29,35,43,1,Atalanta,0
Netherlands,Group F,4,DF,Virgil van Dijk,1991-07-08,34,91,12,Liverpool,1
Netherlands,Group F,5,DF,Nathan Aké,1995-02-18,31,59,5,Manchester City,0
Netherlands,Group F,6,DF,Jan Paul van Hecke,2000-06-08,26,11,0,Brighton & Hove Albion,0
Netherlands,Group F,7,MF,Justin Kluivert,1999-05-05,27,12,0,Bournemouth,0
Netherlands,Group F,8,MF,Ryan Gravenberch,2002-05-16,24,26,1,Liverpool,0
Netherlands,Group F,9,FW,Wout Weghorst,1992-08-07,33,52,14,Ajax,0
Netherlands,Group F,10,FW,Memphis Depay,1994-02-13,32,109,55,Corinthians,0
Netherlands,Group F,11,FW,Cody Gakpo,1999-05-07,27,49,19,Liverpool,0
Netherlands,Group F,12,DF,Mats Wieffer,1999-11-16,26,15,1,Brighton & Hove Albion,0
Netherlands,Group F,13,GK,Robin Roefs,2003-01-17,23,1,0,Sunderland,0
Netherlands,Group F,14,MF,Tijjani Reijnders,1998-07-29,27,31,7,Manchester City,0
Netherlands,Group F,15,DF,Micky van de Ven,2001-04-19,25,20,1,Tottenham Hotspur,0
Netherlands,Group F,16,MF,Guus Til,1997-12-22,28,6,1,PSV Eindhoven,0
Netherlands,Group F,17,FW,Noa Lang,1999-06-17,26,15,3,Galatasaray,0
Netherlands,Group F,18,FW,Donyell Malen,1999-01-19,27,52,13,Roma,0
Netherlands,Group F,19,FW,Brian Brobbey,2002-02-01,24,11,1,Sunderland,0
Netherlands,Group F,20,MF,Teun Koopmeiners,1998-02-28,28,28,3,Juventus,0
Netherlands,Group F,21,MF,Frenkie de Jong,1997-05-12,29,65,2,Barcelona,0
Netherlands,Group F,22,DF,Denzel Dumfries,1996-04-18,30,71,11,Inter Milan,0
Netherlands,Group F,23,GK,Mark Flekken,1993-06-13,32,11,0,Bayer Leverkusen,0
Netherlands,Group F,24,FW,Crysencio Summerville,2001-10-30,24,1,0,West Ham United,0
Netherlands,Group F,25,DF,Jorrel Hato,2006-03-07,20,8,0,Chelsea,0
Netherlands,Group F,26,MF,Quinten Timber,2001-06-17,24,11,1,Marseille,0
