team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
New Zealand,Group G,1,GK,Max Crocombe,1993-08-12,32,23,0,Millwall,0
New Zealand,Group G,2,DF,Tim Payne,1994-01-10,32,50,3,Wellington Phoenix,0
New Zealand,Group G,3,DF,Francis de Vries,1994-11-28,31,19,1,Auckland FC,0
New Zealand,Group G,4,DF,Tyler Bindon,2005-01-27,21,24,3,Sheffield United,0
New Zealand,Group G,5,DF,Michael Boxall,1988-08-18,37,62,1,Minnesota United FC,0
New Zealand,Group G,6,MF,Joe Bell,1999-04-27,27,31,1,Viking,0
New Zealand,Group G,7,MF,Matthew Garbett,2002-04-13,24,36,5,Peterborough United,0
New Zealand,Group G,8,MF,Marko Stamenić,2002-02-19,24,38,3,Swansea City,0
New Zealand,Group G,9,FW,Chris Wood,1991-12-07,34,89,45,Nottingham Forest,1
New Zealand,Group G,10,MF,Sarpreet Singh,1999-02-20,27,27,3,Wellington Phoenix,0
New Zealand,Group G,11,MF,Elijah Just,2000-05-01,26,43,9,Motherwell,0
New Zealand,Group G,12,GK,Alex Paulsen,2002-07-04,23,7,0,Lechia Gdańsk,0
New Zealand,Group G,13,DF,Liberato Cacace,2000-09-27,25,36,1,Wrexham,0
New Zealand,Group G,14,MF,Alex Rufer,1996-06-12,29,25,0,Wellington Phoenix,0
New Zealand,Group G,15,DF,Nando Pijnaker,1999-02-25,27,24,0,Auckland FC,0
New Zealand,Group G,16,DF,Finn Surman,2003-09-23,22,18,2,Portland Timbers,0
New Zealand,Group G,17,FW,Kosta Barbarouses,1990-02-19,36,75,10,Western Sydney Wanderers,0
New Zealand,Group G,18,FW,Ben Waine,2001-06-11,25,31,9,Port Vale,0
New Zealand,Group G,19,MF,Ben Old,2002-08-13,23,23,2,Saint-Étienne,0
New Zealand,Group G,20,MF,Callum McCowatt,1999-04-30,27,31,4,Silkeborg,0
New Zealand,Group G,21,FW,Jesse Randall,2002-08-19,23,10,2,Auckland FC,0
New Zealand,Group G,22,GK,Michael Woud,1999-01-16,27,6,0,Auckland FC,0
New Zealand,Group G,23,MF,Ryan Thomas,1994-12-20,31,25,3,PEC Zwolle,0
New Zealand,Group G,24,DF,Callan Elliot,1999-07-07,26,10,0,Auckland FC,0
New Zealand,Group G,25,MF,Lachlan Bayliss,2002-07-24,23,3,0,Newcastle Jets,0
New Zealand,Group G,26,DF,Tommy Smith,1990-03-31,36,56,2,Braintree Town,0
