team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Paraguay,Group D,1,GK,Gatito Fernández,1988-03-29,38,30,0,Cerro Porteño,0
Paraguay,Group D,2,DF,Gustavo Velázquez,1991-04-17,35,12,1,Cerro Porteño,0
Paraguay,Group D,3,DF,Omar Alderete,1996-12-26,29,35,3,Sunderland,0
Paraguay,Group D,4,DF,Juan José Cáceres,2000-06-01,26,16,0,Dynamo Moscow,0
Paraguay,Group D,5,DF,Fabián Balbuena,1991-08-23,34,47,2,Grêmio,0
Paraguay,Group D,6,DF,Júnior Alonso,1993-02-09,33,70,3,Atlético Mineiro,0
Paraguay,Group D,7,MF,Ramón Sosa,1999-08-31,26,28,1,Palmeiras,0
Paraguay,Group D,8,MF,Diego Gómez,2003-03-27,23,23,3,Brighton & Hove Albion,0
Paraguay,Group D,9,FW,Antonio Sanabria,1996-03-04,30,47,7,Cremonese,0
Paraguay,Group D,10,MF,Miguel Almirón,1994-02-10,32,75,9,Atlanta United FC,0
Paraguay,Group D,11,MF,Maurício,2001-06-22,24,2,0,Palmeiras,0
Paraguay,Group D,12,GK,Orlando Gill,2000-06-11,26,5,0,San Lorenzo,0
Paraguay,Group D,13,DF,José Canale,1996-07-20,29,1,0,Lanús,0
Paraguay,Group D,14,MF,Andrés Cubas,1996-05-11,30,32,0,Vancouver Whitecaps FC,0
Paraguay,Group D,15,DF,Gustavo Gómez,1993-05-06,33,88,4,Palmeiras,1
Paraguay,Group D,16,MF,Damián Bobadilla,2001-07-11,24,19,1,São Paulo,0
Paraguay,Group D,17,FW,Kaku,1995-01-11,31,32,5,Al Ain,0
Paraguay,Group D,18,FW,Álex Arce,1995-06-16,30,14,1,Independiente Rivadavia,0
Paraguay,Group D,19,FW,Julio Enciso,2004-01-23,22,31,4,Strasbourg,0
Paraguay,Group D,20,MF,Braian Ojeda,2000-06-27,25,16,0,Orlando City SC,0
Paraguay,Group D,21,FW,Gabriel Ávalos,1990-10-12,35,22,2,Independiente,0
Paraguay,Group D,22,GK,Gastón Olveira,1993-04-21,33,1,0,Olimpia,0
Paraguay,Group D,23,MF,Matías Galarza,2002-02-11,24,14,2,Atlanta United FC,0
Paraguay,Group D,24,MF,Gustavo Caballero,2001-09-21,24,2,1,Portsmouth,0
Paraguay,Group D,25,FW,Isidro Pitta,1999-08-14,26,5,0,Red Bull Bragantino,0
Paraguay,Group D,26,DF,Alexandro Maidana,2005-07-26,20,1,0,Talleres,0
