team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Portugal,Group K,1,GK,Diogo Costa,1999-09-19,26,42,0,Porto,0
Portugal,Group K,2,DF,Nélson Semedo,1993-11-16,32,48,0,Fenerbahçe,0
Portugal,Group K,3,DF,Rúben Dias,1997-05-14,29,74,3,Manchester City,0
Portugal,Group K,4,DF,Tomás Araújo,2002-05-16,24,3,0,Benfica,0
Portugal,Group K,5,DF,Diogo Dalot,1999-03-18,27,33,3,Manchester United,0
Portugal,Group K,6,MF,Matheus Nunes,1998-08-27,27,19,2,Manchester City,0
Portugal,Group K,7,FW,Cristiano Ronaldo,1985-02-05,41,226,143,Al-Nassr,1
Portugal,Group K,8,MF,Bruno Fernandes,1994-09-08,31,87,28,Manchester United,0
Portugal,Group K,9,FW,Gonçalo Ramos,2001-06-20,24,24,10,Paris Saint-Germain,0
Portugal,Group K,10,MF,Bernardo Silva,1994-08-10,31,107,14,Manchester City,0
Portugal,Group K,11,FW,João Félix,1999-11-10,26,52,12,Al-Nassr,0
Portugal,Group K,12,GK,José Sá,1993-01-17,33,4,0,Wolverhampton Wanderers,0
Portugal,Group K,13,DF,Renato Veiga,2003-07-29,22,11,1,Villarreal,0
Portugal,Group K,14,DF,Gonçalo Inácio,2001-08-25,24,20,2,Sporting CP,0
Portugal,Group K,15,MF,João Neves,2004-09-27,21,21,3,Paris Saint-Germain,0
Portugal,Group K,16,FW,Francisco Trincão,1999-12-29,26,17,3,Sporting CP,0
Portugal,Group K,17,FW,Rafael Leão,1999-06-10,27,43,5,Milan,0
Portugal,Group K,18,FW,Pedro Neto,2000-03-09,26,23,2,Chelsea,0
Portugal,Group K,19,FW,Gonçalo Guedes,1996-11-29,29,33,7,Real Sociedad,0
Portugal,Group K,20,DF,João Cancelo,1994-05-27,32,66,12,Barcelona,0
Portugal,Group K,21,MF,Rúben Neves,1997-03-13,29,65,1,Al-Hilal,0
Portugal,Group K,22,GK,Rui Silva,1994-02-07,32,2,0,Sporting CP,0
Portugal,Group K,23,MF,Vitinha,2000-02-13,26,37,0,Paris Saint-Germain,0
Portugal,Group K,24,DF,Samú Costa,2000-11-27,25,4,0,Mallorca,0
Portugal,Group K,25,DF,Nuno Mendes,2002-06-19,23,43,1,Paris Saint-Germain,0
Portugal,Group K,26,FW,Francisco Conceição,2002-12-14,23,15,3,Juventus,0
