team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Saudi Arabia,Group H,1,GK,Nawaf Al-Aqidi,2000-05-10,26,22,0,Al-Nassr,0
Saudi Arabia,Group H,2,DF,Ali Majrashi,1999-10-02,26,20,0,Al-Ahli,0
Saudi Arabia,Group H,3,DF,Ali Lajami,1996-04-24,30,20,1,Al-Hilal,0
Saudi Arabia,Group H,4,DF,Abdulelah Al-Amri,1997-01-15,29,41,1,Al-Nassr,0
Saudi Arabia,Group H,5,DF,Hassan Al-Tambakti,1999-02-09,27,51,0,Al-Hilal,0
Saudi Arabia,Group H,6,MF,Nasser Al-Dawsari,1998-12-19,27,42,0,Al-Hilal,0
Saudi Arabia,Group H,7,MF,Musab Al-Juwayr,2003-06-20,22,33,6,Al-Qadsiah,0
Saudi Arabia,Group H,8,FW,Ayman Yahya,2001-05-14,25,25,0,Al-Nassr,0
Saudi Arabia,Group H,9,FW,Firas Al-Buraikan,2000-05-14,26,69,15,Al-Ahli,0
Saudi Arabia,Group H,10,FW,Salem Al-Dawsari,1991-08-19,34,108,26,Al-Hilal,1
Saudi Arabia,Group H,11,FW,Saleh Al-Shehri,1993-11-01,32,55,18,Al-Ittihad,0
Saudi Arabia,Group H,12,DF,Saud Abdulhamid,1999-07-18,26,53,1,Lens,0
Saudi Arabia,Group H,13,DF,Nawaf Boushal,1999-09-16,26,24,0,Al-Nassr,0
Saudi Arabia,Group H,14,DF,Hassan Kadesh,1992-09-26,33,19,2,Al-Ittihad,0
Saudi Arabia,Group H,15,MF,Abdullah Al-Khaibari,1996-08-16,29,38,0,Al-Nassr,0
Saudi Arabia,Group H,16,MF,Ziyad Al-Johani,2001-11-11,24,11,0,Al-Ahli,0
Saudi Arabia,Group H,17,FW,Khalid Al-Ghannam,2000-11-08,25,5,0,Al-Ettifaq,0
Saudi Arabia,Group H,18,MF,Alaa Al-Hejji,1995-12-03,30,1,0,Neom,0
Saudi Arabia,Group H,19,FW,Abdullah Al-Hamdan,1999-09-13,26,48,11,Al-Nassr,0
Saudi Arabia,Group H,20,FW,Sultan Mandash,1994-10-17,31,5,1,Al-Hilal,0
Saudi Arabia,Group H,21,GK,Mohammed Al-Owais,1991-10-10,34,63,0,Al-Ula,0
Saudi Arabia,Group H,22,GK,Ahmed Al-Kassar,1991-05-08,35,8,0,Al-Qadsiah,0
Saudi Arabia,Group H,23,MF,Mohamed Kanno,1994-09-22,31,75,8,Al-Hilal,0
Saudi Arabia,Group H,24,DF,Moteb Al-Harbi,2000-02-20,26,11,0,Al-Hilal,0
Saudi Arabia,Group H,25,DF,Jehad Thakri,2001-07-21,24,6,0,Al-Qadsiah,0
Saudi Arabia,Group H,26,DF,Mohammed Abu Al-Shamat,2002-08-11,23,5,0,Al-Qadsiah,0
