team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Scotland,Group C,1,GK,Angus Gunn,1996-01-22,30,21,0,Nottingham Forest,0
Scotland,Group C,2,DF,Aaron Hickey,2002-06-10,24,20,0,Brentford,0
Scotland,Group C,3,DF,Andy Robertson,1994-03-11,32,93,4,Liverpool,1
Scotland,Group C,4,MF,Scott McTominay,1996-12-08,29,69,14,Napoli,0
Scotland,Group C,5,DF,Grant Hanley,1991-11-20,34,67,2,Hibernian,0
Scotland,Group C,6,DF,Kieran Tierney,1997-06-05,29,55,2,Celtic,0
Scotland,Group C,7,MF,John McGinn,1994-10-18,31,85,20,Aston Villa,0
Scotland,Group C,8,MF,Tyler Fletcher,2007-03-19,19,1,0,Manchester United,0
Scotland,Group C,9,FW,Lyndon Dykes,1995-10-07,30,51,10,Charlton Athletic,0
Scotland,Group C,10,FW,Ché Adams,1996-07-13,29,46,11,Torino,0
Scotland,Group C,11,MF,Ryan Christie,1995-02-22,31,67,10,Bournemouth,0
Scotland,Group C,12,GK,Liam Kelly,1996-01-23,30,3,0,Rangers,0
Scotland,Group C,13,DF,Jack Hendry,1995-05-07,31,37,3,Al-Ettifaq,0
Scotland,Group C,14,FW,Ross Stewart,1996-07-11,29,2,0,Southampton,0
Scotland,Group C,15,DF,John Souttar,1996-09-25,29,23,2,Rangers,0
Scotland,Group C,16,DF,Dominic Hyam,1995-12-20,30,3,0,Wrexham,0
Scotland,Group C,17,FW,Ben Gannon-Doak,2005-11-11,20,13,1,Bournemouth,0
Scotland,Group C,18,FW,George Hirst,1999-02-15,27,9,1,Ipswich Town,0
Scotland,Group C,19,MF,Lewis Ferguson,1999-08-24,26,23,1,Bologna,0
Scotland,Group C,20,FW,Lawrence Shankland,1995-08-10,30,19,6,Heart of Midlothian,0
Scotland,Group C,21,GK,Craig Gordon,1982-12-31,43,84,0,Heart of Midlothian,0
Scotland,Group C,22,DF,Nathan Patterson,2001-10-16,24,26,1,Everton,0
Scotland,Group C,23,MF,Kenny McLean,1992-01-08,34,57,3,Norwich City,0
Scotland,Group C,24,DF,Anthony Ralston,1998-11-16,27,26,1,Celtic,0
Scotland,Group C,25,FW,Findlay Curtis,2006-06-09,20,2,1,Kilmarnock,0
Scotland,Group C,26,DF,Scott McKenna,1996-11-12,29,50,1,Dinamo Zagreb,0
