team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
South Africa,Group A,1,GK,Ronwen Williams,1992-01-21,34,62,0,Mamelodi Sundowns,1
South Africa,Group A,2,DF,Thabang Matuludi,1999-01-14,27,2,0,Polokwane City,0
South Africa,Group A,3,DF,Khulumani Ndamane,2004-02-05,22,5,0,Mamelodi Sundowns,0
South Africa,Group A,4,MF,Teboho Mokoena,1997-01-24,29,51,9,Mamelodi Sundowns,0
South Africa,Group A,5,MF,Thalente Mbatha,2000-03-06,26,14,3,Orlando Pirates,0
South Africa,Group A,6,DF,Aubrey Modiba,1995-07-22,30,44,3,Mamelodi Sundowns,0
South Africa,Group A,7,FW,Oswin Appollis,2001-08-25,24,25,8,Orlando Pirates,0
South Africa,Group A,8,FW,Tshepang Moremi,2000-10-02,25,9,1,Orlando Pirates,0
South Africa,Group A,9,FW,Lyle Foster,2000-09-03,25,26,10,Burnley,0
South Africa,Group A,10,FW,Relebohile Mofokeng,2004-10-23,21,12,0,Orlando Pirates,0
South Africa,Group A,11,MF,Themba Zwane,1989-08-03,36,53,12,Mamelodi Sundowns,0
South Africa,Group A,12,FW,Thapelo Maseko,2003-11-11,22,9,1,AEL Limassol,0
South Africa,Group A,13,MF,Sphephelo Sithole,1999-03-03,27,27,1,Tondela,0
South Africa,Group A,14,DF,Mbekezeli Mbokazi,2005-09-19,20,10,1,Chicago Fire FC,0
South Africa,Group A,15,FW,Iqraam Rayners,1995-12-19,30,13,4,Mamelodi Sundowns,0
South Africa,Group A,16,GK,Sipho Chaine,1996-12-14,29,3,0,Orlando Pirates,0
South Africa,Group A,17,FW,Evidence Makgopa,2000-06-05,26,26,6,Orlando Pirates,0
South Africa,Group A,18,DF,Samukele Kabini,2004-03-15,22,5,0,Molde,0
South Africa,Group A,19,DF,Nkosinathi Sibisi,1995-09-22,30,19,0,Orlando Pirates,0
South Africa,Group A,20,DF,Khuliso Mudau,1995-04-26,31,32,1,Mamelodi Sundowns,0
South Africa,Group A,21,DF,Ime Okon,2004-02-20,22,7,1,Hannover 96,0
South Africa,Group A,22,GK,Ricardo Goss,1994-04-02,32,4,0,Siwelele,0
South Africa,Group A,23,MF,Jayden Adams,2001-05-05,25,4,0,Mamelodi Sundowns,0
South Africa,Group A,24,DF,Olwethu Makhanya,2004-04-30,22,0,0,Philadelphia Union,0
South Africa,Group A,25,FW,Kamogelo Sebelebele,2002-07-21,23,2,0,Orlando Pirates,0
South Africa,Group A,26,DF,Bradley Cross,2001-01-30,25,0,0,Kaizer Chiefs,0
