team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
South Korea,Group A,1,GK,Kim Seung-gyu,1990-09-30,35,87,0,FC Tokyo,0
South Korea,Group A,2,DF,Lee Han-beom,2002-06-17,23,8,0,Midtjylland,0
South Korea,Group A,3,MF,Lee Gi-hyuk,2000-07-07,25,3,0,Gangwon FC,0
South Korea,Group A,4,DF,Kim Min-jae,1996-11-15,29,79,4,Bayern Munich,0
South Korea,Group A,5,DF,Kim Tae-hyeon,2000-09-17,25,7,0,Kashima Antlers,0
South Korea,Group A,6,MF,Hwang In-beom,1996-09-20,29,73,6,Feyenoord,0
South Korea,Group A,7,FW,Son Heung-min,1992-07-08,33,144,56,Los Angeles FC,1
South Korea,Group A,8,MF,Paik Seung-ho,1997-03-17,29,27,3,Birmingham City,0
South Korea,Group A,9,FW,Cho Gue-sung,1998-01-25,28,44,12,Midtjylland,0
South Korea,Group A,10,MF,Lee Jae-sung,1992-08-10,33,105,15,Mainz 05,0
South Korea,Group A,11,MF,Hwang Hee-chan,1996-01-26,30,79,17,Wolverhampton Wanderers,0
South Korea,Group A,12,GK,Song Bum-keun,1997-10-15,28,3,0,Jeonbuk Hyundai Motors,0
South Korea,Group A,13,DF,Lee Tae-seok,2002-07-28,23,15,1,Austria Wien,0
South Korea,Group A,14,DF,Cho Wi-je,2001-08-25,24,1,0,Jeonbuk Hyundai Motors,0
South Korea,Group A,15,DF,Kim Moon-hwan,1995-08-01,30,35,0,Daejeon Hana Citizen,0
South Korea,Group A,16,DF,Park Jin-seob,1995-10-23,30,14,1,Zhejiang,0
South Korea,Group A,17,MF,Bae Jun-ho,2003-08-21,22,13,2,Stoke City,0
South Korea,Group A,18,FW,Oh Hyeon-gyu,2001-04-12,25,27,6,Beşiktaş,0
South Korea,Group A,19,MF,Lee Kang-in,2001-02-19,25,47,11,Paris Saint-Germain,0
South Korea,Group A,20,MF,Yang Hyun-jun,2002-05-25,24,9,0,Celtic,0
South Korea,Group A,21,GK,Jo Hyeon-woo,1991-09-25,34,48,0,Ulsan HD,0
South Korea,Group A,22,DF,Seol Young-woo,1998-12-05,27,34,0,Red Star Belgrade,0
South Korea,Group A,23,DF,Jens Castrop,2003-07-29,22,7,0,Borussia Mönchengladbach,0
South Korea,Group A,24,MF,Kim Jin-gyu,1997-02-24,29,22,3,Jeonbuk Hyundai Motors,0
South Korea,Group A,25,MF,Eom Ji-sung,2002-05-09,24,9,2,Swansea City,0
South Korea,Group A,26,MF,Lee Dong-gyeong,1997-09-20,28,18,4,Ulsan HD,0
