team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Spain,Group H,1,GK,David Raya,1995-09-15,30,12,0,Arsenal,0
Spain,Group H,2,DF,Marc Pubill,2003-06-20,22,0,0,Atlético Madrid,0
Spain,Group H,3,DF,Álex Grimaldo,1995-09-20,30,12,0,Bayer Leverkusen,0
Spain,Group H,4,DF,Eric García,2001-01-09,25,19,0,Barcelona,0
Spain,Group H,5,DF,Marcos Llorente,1995-01-30,31,23,0,Atlético Madrid,0
Spain,Group H,6,MF,Mikel Merino,1996-06-22,29,41,10,Arsenal,0
Spain,Group H,7,FW,Ferran Torres,2000-02-29,26,55,23,Barcelona,0
Spain,Group H,8,MF,Fabián Ruiz,1996-04-03,30,41,6,Paris Saint-Germain,0
Spain,Group H,9,MF,Gavi,2004-08-05,21,28,5,Barcelona,0
Spain,Group H,10,FW,Dani Olmo,1998-05-07,28,48,12,Barcelona,0
Spain,Group H,11,FW,Yéremy Pino,2002-10-20,23,21,4,Crystal Palace,0
Spain,Group H,12,DF,Pedro Porro,1999-09-13,26,16,0,Tottenham Hotspur,0
Spain,Group H,13,GK,Joan Garcia,2001-05-04,25,1,0,Barcelona,0
Spain,Group H,14,DF,Aymeric Laporte,1994-05-27,32,44,2,Athletic Bilbao,0
Spain,Group H,15,MF,Álex Baena,2001-07-20,24,15,2,Atlético Madrid,0
Spain,Group H,16,MF,Rodri,1996-06-22,29,61,4,Manchester City,1
Spain,Group H,17,FW,Nico Williams,2002-07-12,23,30,6,Athletic Bilbao,0
Spain,Group H,18,MF,Martín Zubimendi,1999-02-02,27,25,3,Arsenal,0
Spain,Group H,19,FW,Lamine Yamal,2007-07-13,18,25,6,Barcelona,0
Spain,Group H,20,MF,Pedri,2002-11-25,23,40,5,Barcelona,0
Spain,Group H,21,FW,Mikel Oyarzabal,1997-04-21,29,52,24,Real Sociedad,0
Spain,Group H,22,DF,Pau Cubarsí,2007-01-22,19,11,0,Barcelona,0
Spain,Group H,23,GK,Unai Simón,1997-06-11,29,57,0,Athletic Bilbao,0
Spain,Group H,24,DF,Marc Cucurella,1998-07-22,27,23,1,Chelsea,0
Spain,Group H,25,FW,Víctor Muñoz,2003-07-13,22,2,1,Osasuna,0
Spain,Group H,26,FW,Borja Iglesias,1993-01-17,33,6,0,Celta Vigo,0
