team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Sweden,Group F,1,GK,Jacob Widell Zetterström,1998-07-11,27,3,0,Derby County,0
Sweden,Group F,2,DF,Gustaf Lagerbielke,2000-04-10,26,10,2,Braga,0
Sweden,Group F,3,DF,Victor Lindelöf,1994-07-17,31,76,3,Aston Villa,1
Sweden,Group F,4,DF,Isak Hien,1999-01-13,27,28,0,Atalanta,0
Sweden,Group F,5,DF,Gabriel Gudmundsson,1999-04-29,27,23,0,Leeds United,0
Sweden,Group F,6,DF,Herman Johansson,1997-10-16,28,3,0,FC Dallas,0
Sweden,Group F,7,MF,Lucas Bergvall,2006-02-02,20,9,0,Tottenham Hotspur,0
Sweden,Group F,8,DF,Daniel Svensson,2002-02-12,24,12,0,Borussia Dortmund,0
Sweden,Group F,9,FW,Alexander Isak,1999-09-21,26,57,17,Liverpool,0
Sweden,Group F,10,MF,Benjamin Nygren,2001-07-08,24,10,3,Celtic,0
Sweden,Group F,11,FW,Anthony Elanga,2002-04-27,24,29,6,Newcastle United,0
Sweden,Group F,12,GK,Viktor Johansson,1998-09-14,27,12,0,Stoke City,0
Sweden,Group F,13,MF,Ken Sema,1993-09-30,32,33,5,Pafos,0
Sweden,Group F,14,DF,Hjalmar Ekdal,1998-10-21,27,12,0,Burnley,0
Sweden,Group F,15,DF,Carl Starfelt,1995-06-01,31,17,0,Celta Vigo,0
Sweden,Group F,16,MF,Jesper Karlström,1995-06-21,30,24,0,Udinese,0
Sweden,Group F,17,FW,Viktor Gyökeres,1998-06-04,28,32,19,Arsenal,0
Sweden,Group F,18,MF,Yasin Ayari,2003-10-06,22,20,3,Brighton & Hove Albion,0
Sweden,Group F,19,MF,Mattias Svanberg,1999-01-05,27,40,2,VfL Wolfsburg,0
Sweden,Group F,20,DF,Eric Smith,1997-01-08,29,1,0,FC St. Pauli,0
Sweden,Group F,21,DF,Alexander Bernhardsson,1998-09-08,27,10,0,Holstein Kiel,0
Sweden,Group F,22,MF,Besfort Zeneli,2002-11-21,23,7,0,Union Saint-Gilloise,0
Sweden,Group F,23,GK,Kristoffer Nordfeldt,1989-06-23,36,20,0,AIK,0
Sweden,Group F,24,DF,Elliot Stroud,2002-06-22,23,0,0,Mjällby AIF,0
Sweden,Group F,25,FW,Gustaf Nilsson,1997-05-23,29,9,3,Club Brugge,0
Sweden,Group F,26,FW,Taha Ali,1998-07-01,27,1,0,Malmö FF,0
