team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Switzerland,Group B,1,GK,Gregor Kobel,1997-12-06,28,20,0,Borussia Dortmund,0
Switzerland,Group B,2,DF,Miro Muheim,1998-03-24,28,9,0,Hamburger SV,0
Switzerland,Group B,3,DF,Silvan Widmer,1993-03-05,33,59,5,Mainz 05,0
Switzerland,Group B,4,DF,Nico Elvedi,1996-09-30,29,66,3,Borussia Mönchengladbach,0
Switzerland,Group B,5,DF,Manuel Akanji,1995-07-19,30,80,4,Inter Milan,0
Switzerland,Group B,6,MF,Denis Zakaria,1996-11-20,29,64,3,Monaco,0
Switzerland,Group B,7,FW,Breel Embolo,1997-02-14,29,86,24,Rennes,0
Switzerland,Group B,8,MF,Remo Freuler,1992-04-15,34,87,11,Bologna,0
Switzerland,Group B,9,MF,Johan Manzambi,2005-10-14,20,11,3,SC Freiburg,0
Switzerland,Group B,10,MF,Granit Xhaka,1992-09-27,33,145,17,Sunderland,1
Switzerland,Group B,11,FW,Dan Ndoye,2000-10-25,25,30,7,Nottingham Forest,0
Switzerland,Group B,12,GK,Yvon Mvogo,1994-06-06,32,13,0,Lorient,0
Switzerland,Group B,13,DF,Ricardo Rodriguez,1992-08-25,33,137,9,Real Betis,0
Switzerland,Group B,14,MF,Ardon Jashari,2002-07-30,23,7,0,Milan,0
Switzerland,Group B,15,MF,Djibril Sow,1997-02-06,29,51,0,Sevilla,0
Switzerland,Group B,16,FW,Christian Fassnacht,1993-11-11,32,22,5,Young Boys,0
Switzerland,Group B,17,FW,Rubén Vargas,1998-08-05,27,61,11,Sevilla,0
Switzerland,Group B,18,DF,Eray Cömert,1998-02-04,28,21,0,Valencia,0
Switzerland,Group B,19,FW,Noah Okafor,2000-05-24,26,24,2,Leeds United,0
Switzerland,Group B,20,MF,Michel Aebischer,1997-01-06,29,39,2,Pisa,0
Switzerland,Group B,21,GK,Marvin Keller,2002-07-03,23,1,0,Young Boys,0
Switzerland,Group B,22,MF,Fabian Rieder,2002-02-16,24,27,1,FC Augsburg,0
Switzerland,Group B,23,FW,Zeki Amdouni,2000-12-04,25,28,11,Burnley,0
Switzerland,Group B,24,DF,Aurèle Amenda,2003-07-31,22,6,0,Eintracht Frankfurt,0
Switzerland,Group B,25,DF,Luca Jaquez,2003-06-02,23,3,0,VfB Stuttgart,0
Switzerland,Group B,26,FW,Cedric Itten,1996-12-27,29,14,5,Fortuna Düsseldorf,0
