team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Tunisia,Group F,1,GK,Mouhib Chamakh,2001-08-25,24,2,0,Club Africain,0
Tunisia,Group F,2,DF,Ali Abdi,1993-12-20,32,46,7,Nice,0
Tunisia,Group F,3,DF,Montassar Talbi,1998-05-26,28,63,4,Lorient,0
Tunisia,Group F,4,DF,Omar Rekik,2001-12-20,24,5,0,Maribor,0
Tunisia,Group F,5,DF,Adem Arous,2004-07-17,21,1,0,Kasımpaşa,0
Tunisia,Group F,6,DF,Dylan Bronn,1995-06-19,30,52,2,Servette,0
Tunisia,Group F,7,FW,Elias Achouri,1999-02-10,27,29,4,Copenhagen,0
Tunisia,Group F,8,FW,Elias Saad,1999-12-27,26,15,4,Hannover 96,0
Tunisia,Group F,9,FW,Hazem Mastouri,1997-06-18,28,18,4,Dynamo Makhachkala,0
Tunisia,Group F,10,MF,Hannibal Mejbri,2003-01-21,23,45,1,Burnley,0
Tunisia,Group F,11,MF,Ismaël Gharbi,2004-04-10,22,16,2,FC Augsburg,0
Tunisia,Group F,12,DF,Mortadha Ben Ouanes,1994-07-02,31,17,0,Kasımpaşa,0
Tunisia,Group F,13,MF,Rani Khedira,1994-01-27,32,3,0,Union Berlin,0
Tunisia,Group F,14,MF,Khalil Ayari,2005-02-02,21,3,0,Paris Saint-Germain,0
Tunisia,Group F,15,MF,Hadj Mahmoud,2000-04-24,26,8,0,Lugano,0
Tunisia,Group F,16,GK,Aymen Dahmen,1997-01-28,29,37,0,CS Sfaxien,0
Tunisia,Group F,17,MF,Ellyes Skhiri,1995-05-10,31,82,4,Eintracht Frankfurt,1
Tunisia,Group F,18,FW,Rayan Elloumi,2007-09-17,18,3,0,Vancouver Whitecaps FC,0
Tunisia,Group F,19,FW,Firas Chaouat,1996-05-08,30,29,6,Club Africain,0
Tunisia,Group F,20,DF,Yan Valery,1999-02-22,27,22,0,Young Boys,0
Tunisia,Group F,21,DF,Mohamed Amine Ben Hamida,1995-12-15,30,12,0,Espérance de Tunis,0
Tunisia,Group F,22,GK,Sabri Ben Hessen,1996-06-13,29,2,0,Étoile du Sahel,0
Tunisia,Group F,23,DF,Moutaz Neffati,2004-09-04,21,5,0,IFK Norrköping,0
Tunisia,Group F,24,DF,Raed Chikhaoui,2004-06-09,22,0,0,US Monastir,0
Tunisia,Group F,25,MF,Anis Ben Slimane,2001-03-16,25,40,4,Norwich City,0
Tunisia,Group F,26,MF,Sebastian Tounekti,2002-07-13,23,11,1,Celtic,0
