team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Uruguay,Group H,1,GK,Sergio Rochet,1993-03-23,33,35,0,Internacional,0
Uruguay,Group H,2,DF,José María Giménez,1995-01-20,31,99,8,Atlético Madrid,1
Uruguay,Group H,3,DF,Sebastián Cáceres,1999-08-18,26,24,0,América,0
Uruguay,Group H,4,DF,Ronald Araújo,1999-03-07,27,27,1,Barcelona,0
Uruguay,Group H,5,MF,Manuel Ugarte,2001-04-11,25,36,1,Manchester United,0
Uruguay,Group H,6,MF,Rodrigo Bentancur,1997-06-25,28,74,3,Tottenham Hotspur,0
Uruguay,Group H,7,MF,Nicolás de la Cruz,1997-06-01,29,34,5,Flamengo,0
Uruguay,Group H,8,MF,Federico Valverde,1998-07-22,27,73,9,Real Madrid,0
Uruguay,Group H,9,FW,Darwin Núñez,1999-06-24,26,38,13,Al-Hilal,0
Uruguay,Group H,10,MF,Giorgian de Arrascaeta,1994-06-01,32,60,13,Flamengo,0
Uruguay,Group H,11,FW,Facundo Pellistri,2001-12-20,24,39,2,Panathinaikos,0
Uruguay,Group H,12,GK,Santiago Mele,1997-09-06,28,8,0,Monterrey,0
Uruguay,Group H,13,DF,Guillermo Varela,1993-03-24,33,28,0,Flamengo,0
Uruguay,Group H,14,MF,Agustín Canobbio,1998-10-01,27,15,1,Fluminense,0
Uruguay,Group H,15,MF,Emiliano Martínez,1999-08-17,26,10,0,Palmeiras,0
Uruguay,Group H,16,DF,Mathías Olivera,1997-10-31,28,35,2,Napoli,0
Uruguay,Group H,17,DF,Matías Viña,1997-11-09,28,43,1,River Plate,0
Uruguay,Group H,18,FW,Brian Rodríguez,2000-05-20,26,32,4,América,0
Uruguay,Group H,19,FW,Rodrigo Aguirre,1994-10-01,31,10,3,UANL,0
Uruguay,Group H,20,MF,Maximiliano Araújo,2000-02-15,26,28,3,Sporting CP,0
Uruguay,Group H,21,FW,Federico Viñas,1998-06-30,27,11,2,Oviedo,0
Uruguay,Group H,22,MF,Joaquín Piquerez,1998-08-24,27,19,0,Palmeiras,0
Uruguay,Group H,23,GK,Fernando Muslera,1986-06-16,39,134,0,Estudiantes,0
Uruguay,Group H,24,DF,Santiago Bueno,1998-11-09,27,8,0,Wolverhampton Wanderers,0
Uruguay,Group H,25,MF,Juan Manuel Sanabria,2000-03-29,26,5,1,Real Salt Lake,0
Uruguay,Group H,26,MF,Rodrigo Zalazar,1999-08-12,26,8,2,Braga,0
