team,group,shirt_no,position,player_name,date_of_birth,age,caps,goals,club,is_captain
Uzbekistan,Group K,1,GK,Utkir Yusupov,1991-01-04,35,39,0,Navbahor Namangan,0
Uzbekistan,Group K,2,DF,Abdukodir Khusanov,2004-02-29,22,26,0,Manchester City,0
Uzbekistan,Group K,3,DF,Khojiakbar Alijonov,1997-04-19,29,40,2,Pakhtakor,0
Uzbekistan,Group K,4,DF,Farrukh Sayfiev,1991-01-17,35,45,1,Neftchi Fergana,0
Uzbekistan,Group K,5,DF,Rustam Ashurmatov,1996-07-07,29,48,1,Esteghlal,0
Uzbekistan,Group K,6,MF,Akmal Mozgovoy,1999-04-02,27,24,1,Pakhtakor,0
Uzbekistan,Group K,7,MF,Otabek Shukurov,1996-06-22,29,83,9,Baniyas,0
Uzbekistan,Group K,8,MF,Jamshid Iskanderov,1993-10-16,32,37,4,Neftchi Fergana,0
Uzbekistan,Group K,9,MF,Odiljon Hamrobekov,1996-02-13,30,72,1,Tractor,0
Uzbekistan,Group K,10,MF,Jaloliddin Masharipov,1993-09-01,32,74,12,Esteghlal,0
Uzbekistan,Group K,11,MF,Oston Urunov,2000-12-19,25,41,10,Persepolis,0
Uzbekistan,Group K,12,GK,Abduvohid Nematov,2001-03-20,25,8,0,Nasaf,0
Uzbekistan,Group K,13,DF,Sherzod Nasrullaev,1998-07-23,27,30,2,Nasaf,0
Uzbekistan,Group K,14,FW,Eldor Shomurodov,1995-06-29,30,91,44,İstanbul Başakşehir,1
Uzbekistan,Group K,15,DF,Umar Eshmurodov,1992-11-30,33,29,0,Nasaf,0
Uzbekistan,Group K,16,GK,Botirali Ergashev,1995-06-23,30,2,0,Neftchi Fergana,0
Uzbekistan,Group K,17,MF,Dostonbek Khamdamov,1996-07-24,29,33,5,Pakhtakor,0
Uzbekistan,Group K,18,DF,Abdulla Abdullaev,1997-09-01,28,17,0,Dibba,0
Uzbekistan,Group K,19,MF,Azizjon Ganiev,1998-02-22,28,19,0,Al Bataeh,0
Uzbekistan,Group K,20,FW,Azizbek Amonov,1997-10-30,28,12,2,Dinamo Samarqand,0
Uzbekistan,Group K,21,FW,Igor Sergeev,1993-04-30,33,82,24,Persepolis,0
Uzbekistan,Group K,22,MF,Abbosbek Fayzullaev,2003-10-03,22,31,8,İstanbul Başakşehir,0
Uzbekistan,Group K,23,MF,Sherzod Esanov,2003-02-01,23,1,0,Bukhara,0
Uzbekistan,Group K,24,DF,Bekhruz Karimov,2007-08-07,18,2,0,Surkhon Termiz,0
Uzbekistan,Group K,25,DF,Avazbek Ulmasaliev,2000-03-27,26,0,0,AGMK,0
Uzbekistan,Group K,26,DF,Jakhongir Urozov,2004-01-18,22,3,0,Dinamo Samarqand,0
